epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.344,1.95016,2.57878,0.00791,0.56609,0.17386,0.16661,0.09307,1.68157,1.78952,0.00935,0.000369225,0.000369225,0.000369225
2,226.155,1.81428,1.83702,0.0071,0.61121,0.19034,0.20307,0.11549,1.66078,1.61944,0.00924,0.00070258,0.00070258,0.00070258
3,336.078,1.81889,1.71444,0.00711,0.46088,0.20805,0.21069,0.1247,1.6214,1.49636,0.00886,0.000998903,0.000998903,0.000998903
4,445.282,1.79618,1.61985,0.00703,0.54344,0.2457,0.24778,0.14223,1.61869,1.43312,0.00874,0.000944352,0.000944352,0.000944352
5,555.209,1.79756,1.5745,0.00694,0.55851,0.24984,0.25887,0.14884,1.5986,1.38318,0.00855,0.000888802,0.000888802,0.000888802
6,664.634,1.77888,1.53904,0.00694,0.41156,0.25146,0.26675,0.15233,1.59369,1.36961,0.00854,0.000833253,0.000833253,0.000833253
7,774.191,1.78064,1.50919,0.00685,0.37837,0.24655,0.2573,0.1471,1.60469,1.35074,0.00879,0.000777703,0.000777703,0.000777703
8,883.783,1.77446,1.48993,0.00681,0.4016,0.29653,0.27782,0.15885,1.58215,1.31302,0.00845,0.000722154,0.000722154,0.000722154
9,993.599,1.76249,1.46906,0.00673,0.36934,0.28851,0.27981,0.16131,1.57541,1.34197,0.00852,0.000666604,0.000666604,0.000666604
10,1103.79,1.75355,1.45228,0.00671,0.4081,0.3071,0.28066,0.16355,1.5543,1.29774,0.00826,0.000611055,0.000611055,0.000611055
11,1204.8,1.69376,1.40531,0.0074,0.40275,0.29032,0.29337,0.16799,1.57641,1.30096,0.00845,0.000555506,0.000555506,0.000555506
12,1305.82,1.67228,1.37594,0.00728,0.43258,0.30594,0.29775,0.17316,1.55894,1.26419,0.00828,0.000499956,0.000499956,0.000499956
13,1406.93,1.66721,1.35852,0.00723,0.44861,0.29955,0.29435,0.1711,1.55086,1.26056,0.00826,0.000444407,0.000444407,0.000444407
14,1507.58,1.65763,1.34229,0.00715,0.42151,0.30039,0.30301,0.17619,1.54622,1.26442,0.00817,0.000388857,0.000388857,0.000388857
15,1608.3,1.65744,1.32809,0.00713,0.4291,0.31047,0.31564,0.18013,1.55121,1.24436,0.00815,0.000333308,0.000333308,0.000333308
16,1708.88,1.64809,1.30532,0.007,0.40064,0.31622,0.30537,0.17837,1.53321,1.23605,0.00806,0.000277758,0.000277758,0.000277758
17,1808.92,1.63191,1.29629,0.00698,0.41582,0.30995,0.31531,0.183,1.53248,1.22487,0.00804,0.000222209,0.000222209,0.000222209
18,1909.32,1.62773,1.29004,0.00691,0.39733,0.31871,0.31365,0.18386,1.52408,1.22232,0.008,0.000166659,0.000166659,0.000166659
19,2009.05,1.61606,1.28261,0.00687,0.42285,0.31522,0.31252,0.18257,1.52762,1.22663,0.008,0.00011111,0.00011111,0.00011111
20,2109.39,1.61702,1.27409,0.00684,0.42562,0.31435,0.31647,0.18489,1.52303,1.21533,0.00797,5.55606e-05,5.55606e-05,5.55606e-05
