epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.925,1.6837,2.64615,0.00795,0.78456,0.17148,0.1726,0.10113,0.92306,1.76199,0.00899,0.000369225,0.000369225,0.000369225
2,225.806,1.92444,1.83167,0.00711,0.79068,0.19527,0.20031,0.11741,0.98126,1.55417,0.00874,0.00070258,0.00070258,0.00070258
3,335.84,1.9631,1.71648,0.00719,0.66216,0.23434,0.24338,0.13359,1.08945,1.50739,0.0091,0.000998903,0.000998903,0.000998903
4,445.867,1.95027,1.62392,0.0071,0.65772,0.24741,0.24182,0.13543,1.16481,1.46116,0.00901,0.000944352,0.000944352,0.000944352
5,555.81,1.94586,1.57988,0.00698,0.51499,0.2503,0.25749,0.14209,1.24641,1.40845,0.00906,0.000888802,0.000888802,0.000888802
6,665.542,1.92854,1.53131,0.00694,0.59068,0.26215,0.26125,0.14671,1.26889,1.3783,0.00875,0.000833253,0.000833253,0.000833253
7,774.903,1.92507,1.50363,0.00693,0.35462,0.28478,0.27368,0.15934,1.29447,1.34281,0.00867,0.000777703,0.000777703,0.000777703
8,884.115,1.90748,1.47788,0.00687,0.48282,0.28508,0.28619,0.16428,1.3595,1.32282,0.00848,0.000722154,0.000722154,0.000722154
9,994.135,1.91057,1.46508,0.00678,0.39652,0.3039,0.29232,0.16937,1.37403,1.31598,0.00829,0.000666604,0.000666604,0.000666604
10,1103.29,1.90508,1.44489,0.00669,0.39582,0.31012,0.3009,0.17139,1.42655,1.28313,0.00828,0.000611055,0.000611055,0.000611055
11,1204.05,1.83536,1.41122,0.00746,0.42082,0.29203,0.29427,0.16681,1.51027,1.28068,0.00856,0.000555506,0.000555506,0.000555506
12,1304.27,1.83815,1.37188,0.00735,0.46085,0.29949,0.31172,0.17979,1.50115,1.24391,0.00826,0.000499956,0.000499956,0.000499956
13,1405.13,1.81509,1.35691,0.00728,0.43752,0.31186,0.32029,0.1833,1.53314,1.24466,0.00832,0.000444407,0.000444407,0.000444407
14,1505.71,1.80854,1.33387,0.00715,0.41208,0.32622,0.32456,0.18447,1.55849,1.24642,0.00824,0.000388857,0.000388857,0.000388857
15,1606.99,1.81078,1.32131,0.00711,0.47213,0.3297,0.32638,0.18588,1.59208,1.22297,0.00822,0.000333308,0.000333308,0.000333308
16,1707.46,1.80354,1.30493,0.00701,0.45677,0.33408,0.33686,0.19213,1.59638,1.22729,0.00811,0.000277758,0.000277758,0.000277758
17,1807.68,1.79326,1.29408,0.00699,0.45134,0.33856,0.33012,0.19111,1.61227,1.22162,0.00808,0.000222209,0.000222209,0.000222209
18,1908.06,1.79134,1.28202,0.00692,0.4832,0.34035,0.33627,0.19409,1.6187,1.21564,0.00804,0.000166659,0.000166659,0.000166659
19,2008.93,1.7837,1.27199,0.00689,0.47631,0.32961,0.33608,0.1932,1.63564,1.21633,0.00806,0.00011111,0.00011111,0.00011111
20,2109.76,1.77832,1.2626,0.00685,0.45614,0.33802,0.33871,0.19481,1.6402,1.2107,0.00801,5.55606e-05,5.55606e-05,5.55606e-05
