epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,355.381,1.69417,1.8787,0.00698,0.69162,0.52984,0.61953,0.36707,1.54317,1.38779,0.00813,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328
2,689.122,1.68632,1.39367,0.00687,0.72717,0.57646,0.66589,0.39127,1.57652,1.23506,0.00855,0.019762,0.00658732,0.019762,0.00658732,0.019762,0.00658732,0.019762,0.00658732
3,1020.09,1.73431,1.3498,0.00721,0.7081,0.57393,0.65557,0.37304,1.62591,1.26464,0.00902,0.0293177,0.00977257,0.0293177,0.00977257,0.0293177,0.00977257,0.0293177,0.00977257
4,1346.16,1.74501,1.31828,0.00729,0.72914,0.56737,0.66052,0.38106,1.6461,1.23052,0.0094,0.029,0.00966667,0.029,0.00966667,0.029,0.00966667,0.029,0.00966667
5,1672.69,1.7227,1.29063,0.00723,0.73202,0.57638,0.67345,0.39562,1.58703,1.22503,0.00878,0.0286667,0.00955556,0.0286667,0.00955556,0.0286667,0.00955556,0.0286667,0.00955556
6,1998.21,1.71941,1.27001,0.00712,0.73935,0.57545,0.66929,0.38934,1.63009,1.2016,0.00919,0.0283333,0.00944445,0.0283333,0.00944445,0.0283333,0.00944445,0.0283333,0.00944445
7,2323.78,1.7044,1.2528,0.00705,0.74583,0.59646,0.69146,0.40977,1.5797,1.15589,0.0087,0.028,0.00933334,0.028,0.00933334,0.028,0.00933334,0.028,0.00933334
8,2650.94,1.68978,1.23702,0.00703,0.75899,0.5892,0.69382,0.41298,1.577,1.16944,0.00853,0.0276667,0.00922223,0.0276667,0.00922223,0.0276667,0.00922223,0.0276667,0.00922223
9,2976.7,1.68219,1.22463,0.00694,0.76575,0.59293,0.69762,0.41666,1.55573,1.15451,0.00848,0.0273334,0.00911112,0.0273334,0.00911112,0.0273334,0.00911112,0.0273334,0.00911112
10,3302.86,1.67261,1.21496,0.0069,0.75822,0.60459,0.70366,0.42187,1.55061,1.14481,0.00834,0.027,0.00900001,0.027,0.00900001,0.027,0.00900001,0.027,0.00900001
11,3628.48,1.66436,1.20143,0.00684,0.7633,0.60505,0.70602,0.42623,1.54618,1.12013,0.00828,0.0266667,0.0088889,0.0266667,0.0088889,0.0266667,0.0088889,0.0266667,0.0088889
12,3953.84,1.67167,1.19921,0.00677,0.76613,0.61176,0.71268,0.42689,1.5506,1.10955,0.00829,0.0263334,0.00877779,0.0263334,0.00877779,0.0263334,0.00877779,0.0263334,0.00877779
13,4280.78,1.65648,1.19137,0.00678,0.76992,0.61317,0.71616,0.43315,1.53264,1.10506,0.00825,0.026,0.00866668,0.026,0.00866668,0.026,0.00866668,0.026,0.00866668
14,4607.39,1.65499,1.18075,0.00671,0.77011,0.61515,0.71653,0.43586,1.52868,1.09633,0.0082,0.0256667,0.00855557,0.0256667,0.00855557,0.0256667,0.00855557,0.0256667,0.00855557
15,4934.35,1.64539,1.17953,0.00666,0.77253,0.61601,0.72006,0.44148,1.50943,1.09251,0.00799,0.0253334,0.00844446,0.0253334,0.00844446,0.0253334,0.00844446,0.0253334,0.00844446
16,5262.24,1.6404,1.16758,0.00663,0.78111,0.62238,0.72642,0.44888,1.49742,1.06076,0.00791,0.025,0.00833335,0.025,0.00833335,0.025,0.00833335,0.025,0.00833335
17,5590.18,1.63091,1.1612,0.00666,0.77502,0.63028,0.72978,0.4495,1.49565,1.07317,0.00786,0.0246667,0.00822224,0.0246667,0.00822224,0.0246667,0.00822224,0.0246667,0.00822224
18,5921.66,1.63606,1.16202,0.00662,0.77537,0.62234,0.72642,0.44926,1.49029,1.07339,0.00788,0.0243334,0.00811113,0.0243334,0.00811113,0.0243334,0.00811113,0.0243334,0.00811113
19,6254.6,1.63548,1.1538,0.00652,0.78302,0.62625,0.72999,0.45278,1.4864,1.05622,0.00783,0.0240001,0.00800002,0.0240001,0.00800002,0.0240001,0.00800002,0.0240001,0.00800002
20,6586.59,1.63238,1.15003,0.0065,0.78091,0.62722,0.73046,0.45156,1.49282,1.05907,0.00788,0.0236667,0.00788891,0.0236667,0.00788891,0.0236667,0.00788891,0.0236667,0.00788891
21,6918.32,1.63005,1.14807,0.00649,0.78558,0.63124,0.73469,0.45551,1.48487,1.05074,0.0078,0.0233334,0.0077778,0.0233334,0.0077778,0.0233334,0.0077778,0.0233334,0.0077778
22,7250.66,1.61924,1.13729,0.00648,0.7865,0.62647,0.73302,0.45433,1.49342,1.05102,0.00777,0.0230001,0.00766669,0.0230001,0.00766669,0.0230001,0.00766669,0.0230001,0.00766669
23,7583.4,1.62289,1.13976,0.00648,0.78025,0.63773,0.73871,0.45929,1.46505,1.06088,0.00765,0.0226667,0.00755558,0.0226667,0.00755558,0.0226667,0.00755558,0.0226667,0.00755558
24,7914.75,1.61238,1.13886,0.00648,0.7827,0.63878,0.74096,0.46117,1.47041,1.03673,0.00761,0.0223334,0.00744447,0.0223334,0.00744447,0.0223334,0.00744447,0.0223334,0.00744447
25,8239.88,1.61454,1.13505,0.00641,0.78069,0.63836,0.7403,0.46184,1.46374,1.03819,0.0076,0.0220001,0.00733336,0.0220001,0.00733336,0.0220001,0.00733336,0.0220001,0.00733336
26,8565.88,1.61283,1.12905,0.00642,0.78433,0.64181,0.74416,0.46442,1.45906,1.03443,0.00754,0.0216667,0.00722225,0.0216667,0.00722225,0.0216667,0.00722225,0.0216667,0.00722225
27,8892.54,1.60243,1.119,0.0064,0.78747,0.64354,0.74565,0.46722,1.45993,1.01964,0.00751,0.0213334,0.00711114,0.0213334,0.00711114,0.0213334,0.00711114,0.0213334,0.00711114
28,9219.78,1.60778,1.12274,0.00638,0.79005,0.64157,0.746,0.46964,1.44601,1.02321,0.00745,0.0210001,0.00700003,0.0210001,0.00700003,0.0210001,0.00700003,0.0210001,0.00700003
