epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,455.468,1.62879,1.84157,0.00698,0.68627,0.53718,0.62401,0.36439,1.00105,1.36982,0.00813,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328
2,868.589,1.84541,1.38764,0.00682,0.71087,0.56404,0.6521,0.37797,1.32354,1.31711,0.00865,0.019762,0.00658732,0.019762,0.00658732,0.019762,0.00658732,0.019762,0.00658732
3,1206.53,1.88888,1.34861,0.0072,0.71061,0.5694,0.65616,0.37282,1.58879,1.32973,0.00906,0.0293177,0.00977257,0.0293177,0.00977257,0.0293177,0.00977257,0.0293177,0.00977257
4,1541.24,1.89614,1.32241,0.00728,0.72336,0.57757,0.66766,0.37853,1.72047,1.26491,0.00923,0.029,0.00966667,0.029,0.00966667,0.029,0.00966667,0.029,0.00966667
5,1876.48,1.87165,1.2913,0.00722,0.73408,0.5797,0.67791,0.39531,1.71481,1.20599,0.00904,0.0286667,0.00955556,0.0286667,0.00955556,0.0286667,0.00955556,0.0286667,0.00955556
6,2210.25,1.87242,1.27235,0.0071,0.73617,0.57972,0.67507,0.39871,1.73416,1.20548,0.00901,0.0283333,0.00944445,0.0283333,0.00944445,0.0283333,0.00944445,0.0283333,0.00944445
7,2543.75,1.85947,1.25222,0.00703,0.75348,0.59521,0.69563,0.41027,1.73226,1.15576,0.00875,0.028,0.00933334,0.028,0.00933334,0.028,0.00933334,0.028,0.00933334
8,2878.65,1.84328,1.23893,0.00701,0.74547,0.59351,0.69193,0.40832,1.73302,1.1938,0.00856,0.0276667,0.00922223,0.0276667,0.00922223,0.0276667,0.00922223,0.0276667,0.00922223
9,3213.29,1.8427,1.2256,0.00694,0.7579,0.59953,0.70238,0.41701,1.71646,1.15242,0.00856,0.0273334,0.00911112,0.0273334,0.00911112,0.0273334,0.00911112,0.0273334,0.00911112
10,3547.91,1.83008,1.21639,0.00689,0.75026,0.5982,0.6973,0.41512,1.72759,1.16765,0.00858,0.027,0.00900001,0.027,0.00900001,0.027,0.00900001,0.027,0.00900001
11,3881.08,1.82609,1.20073,0.00684,0.76071,0.60485,0.70985,0.43063,1.69287,1.1199,0.00834,0.0266667,0.0088889,0.0266667,0.0088889,0.0266667,0.0088889,0.0266667,0.0088889
