epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.79,1.97694,2.67888,0.00793,0.77205,0.16836,0.16328,0.09433,1.68,1.82828,0.00903,0.000368852,0.000368852,0.000368852
2,240.25,1.83409,1.8436,0.00716,0.79377,0.19133,0.20054,0.1143,1.64963,1.57876,0.00889,0.000702226,0.000702226,0.000702226
3,359.594,1.82049,1.71043,0.0071,0.67694,0.23645,0.23617,0.13482,1.65195,1.50877,0.00903,0.000998568,0.000998568,0.000998568
4,478.945,1.81441,1.63265,0.00709,0.5399,0.23577,0.24554,0.13783,1.65128,1.44635,0.00893,0.000944352,0.000944352,0.000944352
5,596.281,1.7993,1.58235,0.00701,0.70425,0.23817,0.25286,0.14456,1.63209,1.40161,0.00888,0.000888802,0.000888802,0.000888802
6,714.23,1.78529,1.53946,0.007,0.37104,0.23795,0.24732,0.14176,1.62994,1.45453,0.00878,0.000833253,0.000833253,0.000833253
7,833.73,1.77504,1.50398,0.00685,0.56285,0.27564,0.28233,0.16154,1.58037,1.34447,0.00848,0.000777703,0.000777703,0.000777703
8,953.738,1.77753,1.48088,0.0068,0.35899,0.30532,0.27624,0.15501,1.60089,1.30943,0.0086,0.000722154,0.000722154,0.000722154
9,1073.51,1.75827,1.4678,0.00676,0.38422,0.28501,0.28329,0.16771,1.57321,1.31998,0.00835,0.000666604,0.000666604,0.000666604
10,1193.72,1.73797,1.4425,0.00669,0.34211,0.30149,0.27565,0.16088,1.56592,1.31848,0.00824,0.000611055,0.000611055,0.000611055
11,1305.19,1.70241,1.40946,0.0074,0.36342,0.31019,0.2935,0.16799,1.58084,1.28765,0.00835,0.000555506,0.000555506,0.000555506
12,1417.44,1.6811,1.37805,0.00733,0.41923,0.30719,0.30943,0.17642,1.56823,1.25556,0.00845,0.000499956,0.000499956,0.000499956
13,1528.73,1.67,1.35526,0.0072,0.37682,0.30837,0.30555,0.181,1.54974,1.27253,0.00818,0.000444407,0.000444407,0.000444407
14,1640.78,1.65832,1.33799,0.00713,0.36041,0.31073,0.29178,0.1689,1.57052,1.2614,0.00824,0.000388857,0.000388857,0.000388857
15,1752.54,1.65651,1.32408,0.00706,0.41882,0.31771,0.31934,0.18598,1.54337,1.23772,0.00807,0.000333308,0.000333308,0.000333308
16,1861.84,1.64506,1.30879,0.00704,0.42125,0.31014,0.31602,0.18319,1.54633,1.23551,0.00813,0.000277758,0.000277758,0.000277758
17,1969.88,1.64377,1.29866,0.00696,0.38664,0.31837,0.3152,0.18519,1.54226,1.22731,0.00806,0.000222209,0.000222209,0.000222209
18,2079.54,1.63361,1.28727,0.00693,0.40552,0.31553,0.3216,0.18781,1.53397,1.22631,0.00797,0.000166659,0.000166659,0.000166659
19,2190.64,1.62267,1.276,0.00686,0.43555,0.31806,0.32449,0.18795,1.5305,1.22209,0.00796,0.00011111,0.00011111,0.00011111
20,2301.7,1.61683,1.27015,0.00686,0.43267,0.31884,0.32474,0.18927,1.5278,1.22054,0.00794,5.55606e-05,5.55606e-05,5.55606e-05
