epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.832,1.46041,2.21432,0,0.61642,0.19448,0.21021,0.12192,0.8097,1.1714,0,0.000369225,0.000369225,0.000369225
2,327.805,1.54731,1.25409,0,0.54605,0.24011,0.25221,0.13806,0.84922,1.12516,0,0.00070258,0.00070258,0.00070258
3,486.181,1.52743,1.19329,0,0.34831,0.2756,0.26977,0.15319,0.84746,1.03713,0,0.000998903,0.000998903,0.000998903
4,644.359,1.50278,1.14441,0,0.42074,0.29154,0.28972,0.16197,0.89627,1.00588,0,0.000944352,0.000944352,0.000944352
5,801.477,1.49166,1.11114,0,0.44232,0.30986,0.30943,0.17371,0.9343,0.97445,0,0.000888802,0.000888802,0.000888802
6,958.788,1.47656,1.08925,0,0.38841,0.30873,0.28689,0.16415,0.96366,0.95246,0,0.000833253,0.000833253,0.000833253
7,1116.12,1.45898,1.06596,0,0.52795,0.30319,0.31216,0.18041,0.98201,0.94889,0,0.000777703,0.000777703,0.000777703
8,1272.89,1.45555,1.05643,0,0.40108,0.30789,0.31538,0.17743,1.04092,0.93535,0,0.000722154,0.000722154,0.000722154
9,1429.78,1.44216,1.03778,0,0.40667,0.32362,0.32678,0.18196,1.06422,0.91678,0,0.000666604,0.000666604,0.000666604
10,1586.97,1.4342,1.02181,0,0.42669,0.33263,0.33923,0.18966,1.09793,0.91516,0,0.000611055,0.000611055,0.000611055
11,1733.17,1.40574,1.00074,0,0.39304,0.31841,0.32463,0.18362,1.1131,0.89949,0,0.000555506,0.000555506,0.000555506
12,1878.79,1.39919,0.97717,0,0.42129,0.33359,0.33466,0.18867,1.14344,0.88796,0,0.000499956,0.000499956,0.000499956
13,2024,1.38833,0.96449,0,0.42802,0.36074,0.34879,0.19585,1.1817,0.88469,0,0.000444407,0.000444407,0.000444407
14,2170.02,1.38597,0.9512,0,0.4208,0.33922,0.33698,0.19309,1.1763,0.88277,0,0.000388857,0.000388857,0.000388857
15,2315.79,1.37847,0.94141,0,0.42243,0.35908,0.35145,0.19978,1.18447,0.86577,0,0.000333308,0.000333308,0.000333308
16,2461.52,1.37338,0.92946,0,0.44363,0.34711,0.35261,0.19989,1.21357,0.86768,0,0.000277758,0.000277758,0.000277758
17,2607.87,1.36252,0.91802,0,0.41454,0.3577,0.35129,0.19935,1.21833,0.86067,0,0.000222209,0.000222209,0.000222209
18,2753.62,1.36239,0.91051,0,0.41957,0.35425,0.35227,0.20173,1.21204,0.8526,0,0.000166659,0.000166659,0.000166659
19,2900.61,1.35706,0.90024,0,0.43687,0.34883,0.35469,0.20256,1.2272,0.85316,0,0.00011111,0.00011111,0.00011111
20,3046.89,1.3499,0.89332,0,0.42002,0.36333,0.36024,0.20372,1.23239,0.84506,0,5.55606e-05,5.55606e-05,5.55606e-05
