epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,609.316,1.41251,1.33563,0,0.75673,0.57817,0.67901,0.40619,1.29787,0.959,0,0.003328,0.003328,0.003328
2,1121.52,1.36834,0.98985,0,0.7522,0.58556,0.68142,0.39813,1.32908,0.93607,0,0.00658732,0.00658732,0.00658732
3,1632.02,1.39323,0.97529,0,0.75654,0.5764,0.67777,0.40079,1.34225,0.91787,0,0.00977257,0.00977257,0.00977257
4,2142.46,1.40308,0.9621,0,0.75131,0.57031,0.67444,0.39836,1.35571,0.90864,0,0.00966667,0.00966667,0.00966667
5,2653.95,1.39538,0.9483,0,0.76071,0.58263,0.6858,0.40715,1.34715,0.87401,0,0.00955556,0.00955556,0.00955556
6,3164.44,1.38202,0.93048,0,0.76486,0.5882,0.68902,0.41199,1.32891,0.87986,0,0.00944445,0.00944445,0.00944445
7,3674.36,1.37375,0.91776,0,0.76986,0.58859,0.69398,0.41607,1.3154,0.86018,0,0.00933334,0.00933334,0.00933334
8,4182.21,1.36822,0.91382,0,0.77154,0.59364,0.69901,0.42261,1.3053,0.85374,0,0.00922223,0.00922223,0.00922223
9,4688.63,1.36332,0.90557,0,0.77183,0.59531,0.70055,0.42245,1.30316,0.84692,0,0.00911112,0.00911112,0.00911112
10,5192.08,1.35652,0.89887,0,0.77189,0.59746,0.70292,0.42887,1.27581,0.85217,0,0.00900001,0.00900001,0.00900001
11,5696.09,1.34933,0.89028,0,0.78033,0.59987,0.70639,0.42937,1.28953,0.82559,0,0.0088889,0.0088889,0.0088889
12,6201.63,1.3464,0.88663,0,0.7762,0.6072,0.7099,0.43183,1.27971,0.8385,0,0.00877779,0.00877779,0.00877779
13,6706.17,1.33826,0.88081,0,0.78031,0.6082,0.71453,0.43792,1.26674,0.81764,0,0.00866668,0.00866668,0.00866668
14,7211.49,1.33514,0.87936,0,0.77969,0.60952,0.71657,0.43839,1.26669,0.82396,0,0.00855557,0.00855557,0.00855557
15,7716.29,1.33198,0.87559,0,0.78001,0.61146,0.71739,0.43644,1.28077,0.82038,0,0.00844446,0.00844446,0.00844446
16,8219.68,1.32265,0.86928,0,0.7899,0.61559,0.72206,0.44354,1.25774,0.80915,0,0.00833335,0.00833335,0.00833335
17,8725.9,1.32729,0.86533,0,0.7835,0.61578,0.72224,0.44666,1.24078,0.80612,0,0.00822224,0.00822224,0.00822224
18,9229.84,1.3187,0.86136,0,0.7903,0.6178,0.72392,0.44727,1.24508,0.79314,0,0.00811113,0.00811113,0.00811113
19,604.053,1.31555,0.85777,0,0.79011,0.61504,0.72121,0.44746,1.25253,0.78885,0,0.00800002,0.00800002,0.00800002
20,1117,1.31,0.85436,0,0.79231,0.62697,0.73231,0.45364,1.23396,0.78494,0,0.00788891,0.00788891,0.00788891
21,1628.82,1.30657,0.85153,0,0.79429,0.62506,0.73234,0.45442,1.23282,0.7875,0,0.0077778,0.0077778,0.0077778
22,2141.12,1.30426,0.84869,0,0.79165,0.62655,0.73166,0.45395,1.23292,0.78604,0,0.00766669,0.00766669,0.00766669
23,2654.77,1.30307,0.84787,0,0.79324,0.62832,0.73436,0.45777,1.22628,0.77541,0,0.00755558,0.00755558,0.00755558
24,3166.53,1.29862,0.84357,0,0.79597,0.62943,0.73511,0.45712,1.22831,0.77525,0,0.00744447,0.00744447,0.00744447
25,3680.78,1.29604,0.83868,0,0.79564,0.63303,0.73824,0.46148,1.21393,0.76884,0,0.00733336,0.00733336,0.00733336
26,4195.48,1.29502,0.83774,0,0.79928,0.63281,0.7396,0.46168,1.21635,0.76529,0,0.00722225,0.00722225,0.00722225
27,4709.1,1.29355,0.83429,0,0.79752,0.63495,0.7393,0.46178,1.2176,0.76518,0,0.00711114,0.00711114,0.00711114
28,5222.39,1.29127,0.8329,0,0.80181,0.63239,0.74131,0.46365,1.21056,0.7646,0,0.00700003,0.00700003,0.00700003
29,5734.98,1.28589,0.827,0,0.79956,0.63648,0.74264,0.46501,1.2086,0.76073,0,0.00688892,0.00688892,0.00688892
30,6247.21,1.28551,0.82664,0,0.79947,0.63725,0.74319,0.466,1.20732,0.7579,0,0.00677781,0.00677781,0.00677781
31,6760.62,1.28152,0.82431,0,0.80318,0.63851,0.74529,0.46783,1.2048,0.75187,0,0.0066667,0.0066667,0.0066667
32,7274.99,1.27944,0.8232,0,0.80309,0.63908,0.74533,0.46979,1.19858,0.74922,0,0.00655559,0.00655559,0.00655559
33,7788.39,1.27796,0.82102,0,0.80206,0.63897,0.74561,0.46975,1.19738,0.74931,0,0.00644448,0.00644448,0.00644448
34,8300.76,1.27023,0.81942,0,0.80302,0.64064,0.74701,0.47134,1.19604,0.74462,0,0.00633337,0.00633337,0.00633337
35,8814.39,1.27612,0.81659,0,0.80296,0.64149,0.74805,0.47288,1.19009,0.74361,0,0.00622226,0.00622226,0.00622226
36,9325.55,1.26986,0.81367,0,0.80154,0.64351,0.74882,0.47303,1.19372,0.74012,0,0.00611115,0.00611115,0.00611115
37,9835.07,1.26884,0.81376,0,0.80558,0.64023,0.74843,0.47411,1.18838,0.74036,0,0.00600004,0.00600004,0.00600004
38,10344,1.27137,0.81736,0,0.807,0.64106,0.74963,0.47469,1.18688,0.73925,0,0.00588893,0.00588893,0.00588893
39,10849.9,1.26805,0.81054,0,0.8047,0.64611,0.75192,0.47606,1.18417,0.73597,0,0.00577782,0.00577782,0.00577782
40,11354.7,1.25942,0.80726,0,0.8043,0.64601,0.75231,0.47668,1.18259,0.7338,0,0.00566671,0.00566671,0.00566671
41,600.057,1.25613,0.80119,0,0.80558,0.64801,0.75383,0.47773,1.18123,0.72913,0,0.0055556,0.0055556,0.0055556
42,1108.42,1.25545,0.80106,0,0.80617,0.64942,0.75396,0.47779,1.18137,0.72955,0,0.00544449,0.00544449,0.00544449
43,1616.38,1.25458,0.79904,0,0.80355,0.65172,0.75487,0.47951,1.1772,0.72788,0,0.00533338,0.00533338,0.00533338
44,2126.15,1.25354,0.79886,0,0.80726,0.65062,0.75534,0.47968,1.17675,0.728,0,0.00522227,0.00522227,0.00522227
45,2636.73,1.25238,0.79683,0,0.80799,0.64948,0.7554,0.47995,1.17539,0.72596,0,0.00511116,0.00511116,0.00511116
46,3145.38,1.2515,0.79621,0,0.80712,0.64912,0.75551,0.48101,1.17308,0.72486,0,0.00500005,0.00500005,0.00500005
47,3655.32,1.24707,0.79137,0,0.80634,0.65081,0.75627,0.48128,1.17318,0.72412,0,0.00488894,0.00488894,0.00488894
48,4165.87,1.2457,0.79118,0,0.81064,0.6503,0.75674,0.48161,1.1736,0.72112,0,0.00477783,0.00477783,0.00477783
49,4675.24,1.24598,0.78924,0,0.81016,0.65151,0.75709,0.48209,1.17123,0.72146,0,0.00466672,0.00466672,0.00466672
50,5184.21,1.24393,0.78774,0,0.80816,0.6534,0.7579,0.48254,1.17103,0.72105,0,0.00455561,0.00455561,0.00455561
51,5694.04,1.24096,0.78314,0,0.80906,0.65458,0.75862,0.48313,1.16971,0.71873,0,0.0044445,0.0044445,0.0044445
52,6204.66,1.23986,0.78152,0,0.80864,0.65484,0.75862,0.48331,1.16908,0.71753,0,0.00433339,0.00433339,0.00433339
53,6715.48,1.23602,0.77892,0,0.80858,0.65531,0.75947,0.48375,1.16916,0.71572,0,0.00422228,0.00422228,0.00422228
54,597.664,1.22534,0.77122,0,0.80985,0.65553,0.76016,0.48423,1.16963,0.71496,0,0.00411117,0.00411117,0.00411117
55,1103.64,1.22498,0.77235,0,0.80967,0.65755,0.76057,0.48514,1.16687,0.71348,0,0.00400006,0.00400006,0.00400006
56,1608.71,1.22392,0.77043,0,0.8108,0.65643,0.76048,0.48504,1.16606,0.71232,0,0.00388895,0.00388895,0.00388895
57,2115.99,1.22325,0.76855,0,0.81038,0.65687,0.76079,0.48555,1.16642,0.71128,0,0.00377784,0.00377784,0.00377784
58,2623.36,1.2216,0.7679,0,0.81,0.65715,0.76138,0.48594,1.16571,0.7109,0,0.00366673,0.00366673,0.00366673
59,3131.04,1.22071,0.76553,0,0.81002,0.65764,0.76144,0.486,1.16563,0.71004,0,0.00355562,0.00355562,0.00355562
60,3638.96,1.21847,0.76196,0,0.81184,0.65679,0.76183,0.48608,1.16525,0.70878,0,0.00344451,0.00344451,0.00344451
61,4148.42,1.21506,0.76224,0,0.81186,0.65708,0.76195,0.48641,1.16455,0.70844,0,0.0033334,0.0033334,0.0033334
62,4656.85,1.21677,0.75976,0,0.81125,0.65802,0.76186,0.48663,1.16519,0.708,0,0.00322229,0.00322229,0.00322229
63,5165.78,1.21556,0.75956,0,0.81227,0.65813,0.76246,0.48683,1.16475,0.70806,0,0.00311118,0.00311118,0.00311118
64,5674.26,1.21176,0.75563,0,0.81234,0.6584,0.76286,0.4871,1.16457,0.70772,0,0.00300007,0.00300007,0.00300007
65,6184.28,1.21395,0.75589,0,0.81258,0.65825,0.76307,0.48727,1.16392,0.70756,0,0.00288896,0.00288896,0.00288896
66,6691.94,1.21188,0.75484,0,0.81254,0.65854,0.763,0.48721,1.16316,0.70744,0,0.00277785,0.00277785,0.00277785
67,7201.01,1.21266,0.75754,0,0.81224,0.65916,0.76312,0.4874,1.16293,0.70671,0,0.00266674,0.00266674,0.00266674
68,7709.82,1.21156,0.75485,0,0.81411,0.65876,0.76338,0.48779,1.16245,0.70571,0,0.00255563,0.00255563,0.00255563
69,8218.05,1.20345,0.75272,0,0.81425,0.65877,0.76374,0.48809,1.16204,0.70508,0,0.00244452,0.00244452,0.00244452
70,8728.42,1.20987,0.75135,0,0.81348,0.65931,0.76379,0.48841,1.1615,0.70456,0,0.00233341,0.00233341,0.00233341
71,9236.36,1.20364,0.74873,0,0.81264,0.66028,0.76405,0.48867,1.16138,0.70414,0,0.0022223,0.0022223,0.0022223
72,9744.55,1.20126,0.74643,0,0.81348,0.65991,0.76399,0.48879,1.16101,0.70363,0,0.00211119,0.00211119,0.00211119
73,10254.5,1.20354,0.74994,0,0.81412,0.65945,0.76427,0.48901,1.16047,0.70332,0,0.00200008,0.00200008,0.00200008
74,10763,1.2003,0.74352,0,0.81427,0.65974,0.7644,0.4892,1.16014,0.70292,0,0.00188897,0.00188897,0.00188897
75,11270.5,1.19371,0.73967,0,0.81424,0.65969,0.76439,0.48927,1.15935,0.7028,0,0.00177786,0.00177786,0.00177786
76,11779,1.19904,0.74184,0,0.81397,0.65955,0.76452,0.4895,1.15901,0.70261,0,0.00166675,0.00166675,0.00166675
77,12287.9,1.19692,0.74199,0,0.81419,0.65945,0.7645,0.48955,1.15884,0.70252,0,0.00155564,0.00155564,0.00155564
78,12797.1,1.19778,0.74062,0,0.8135,0.66008,0.76448,0.48973,1.1586,0.7022,0,0.00144453,0.00144453,0.00144453
79,13339.9,1.18972,0.7358,0,0.81339,0.65988,0.76463,0.48973,1.15839,0.70194,0,0.00133342,0.00133342,0.00133342
80,13897.7,1.19309,0.73662,0,0.814,0.66004,0.76466,0.48989,1.15815,0.70177,0,0.00122231,0.00122231,0.00122231
81,14386.1,1.1558,0.7039,0,0.81373,0.65983,0.76466,0.48998,1.15782,0.70177,0,0.0011112,0.0011112,0.0011112
82,14874.3,1.14763,0.69528,0,0.81377,0.66027,0.76472,0.49018,1.1577,0.70139,0,0.00100009,0.00100009,0.00100009
83,15363.5,1.14537,0.69178,0,0.81484,0.65963,0.76492,0.49027,1.15762,0.70122,0,0.00088898,0.00088898,0.00088898
84,583.354,1.15046,0.69597,0,0.81366,0.66047,0.76482,0.49023,1.15775,0.70124,0,0.00077787,0.00077787,0.00077787
85,1071.7,1.14376,0.69187,0,0.81442,0.66,0.76478,0.4902,1.15784,0.70117,0,0.00066676,0.00066676,0.00066676
86,1561.34,1.14262,0.68892,0,0.8141,0.66039,0.76486,0.49027,1.15781,0.70121,0,0.00055565,0.00055565,0.00055565
87,2051.4,1.13929,0.68641,0,0.81378,0.66056,0.76483,0.49024,1.15795,0.70119,0,0.00044454,0.00044454,0.00044454
88,2541.63,1.13673,0.68347,0,0.81385,0.66058,0.76495,0.49026,1.15794,0.70098,0,0.00033343,0.00033343,0.00033343
89,3031.9,1.13397,0.68127,0,0.8135,0.66078,0.7649,0.49018,1.15806,0.70098,0,0.00022232,0.00022232,0.00022232
90,3524.36,1.13353,0.67933,0,0.81311,0.66122,0.76494,0.49021,1.15814,0.701,0,0.00011121,0.00011121,0.00011121
