epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,526.116,1.40977,1.36572,1.29145,0.75737,0.57664,0.67937,0.40684,1.30131,0.9749,1.2072,0.003328,0.003328,0.003328
2,1039.83,1.36804,1.0056,1.25386,0.76693,0.58107,0.68393,0.40823,1.31876,0.93533,1.22882,0.00658732,0.00658732,0.00658732
3,1551.24,1.39029,0.98327,1.26722,0.76041,0.57694,0.67918,0.40259,1.33888,0.92302,1.24499,0.00977257,0.00977257,0.00977257
4,2062.2,1.39446,0.96451,1.26777,0.76713,0.58323,0.68661,0.40997,1.31662,0.89999,1.23781,0.00966667,0.00966667,0.00966667
5,2574.03,1.38559,0.947,1.26468,0.77008,0.58622,0.68772,0.41331,1.32395,0.88924,1.2378,0.00955556,0.00955556,0.00955556
6,3084.12,1.37671,0.93307,1.25858,0.77363,0.58987,0.69854,0.41991,1.30721,0.86502,1.22383,0.00944445,0.00944445,0.00944445
7,3593.74,1.36147,0.91624,1.2532,0.77262,0.59702,0.69645,0.42013,1.3135,0.86847,1.2324,0.00933334,0.00933334,0.00933334
8,4105.6,1.35994,0.90932,1.24748,0.78017,0.59761,0.70619,0.42549,1.31134,0.84509,1.2163,0.00922223,0.00922223,0.00922223
9,4618.41,1.35126,0.90002,1.24398,0.77831,0.59702,0.70362,0.42793,1.29469,0.84225,1.20733,0.00911112,0.00911112,0.00911112
10,5130.94,1.34876,0.89624,1.24027,0.77563,0.60738,0.7117,0.43341,1.28421,0.83472,1.20277,0.00900001,0.00900001,0.00900001
11,5641.52,1.34584,0.89,1.23543,0.7768,0.59774,0.70606,0.43036,1.27446,0.83929,1.20345,0.0088889,0.0088889,0.0088889
12,6152.42,1.33894,0.88567,1.23294,0.78402,0.6028,0.71329,0.43489,1.26468,0.84346,1.19204,0.00877779,0.00877779,0.00877779
13,6664.73,1.32534,0.87671,1.23008,0.78501,0.61173,0.71917,0.44174,1.2666,0.81193,1.19167,0.00866668,0.00866668,0.00866668
14,7175.69,1.32478,0.87017,1.22703,0.78859,0.61152,0.71985,0.44558,1.24699,0.81184,1.1829,0.00855557,0.00855557,0.00855557
15,7684.77,1.32451,0.86956,1.22297,0.78617,0.61775,0.72352,0.4466,1.24497,0.80757,1.18092,0.00844446,0.00844446,0.00844446
16,8195.78,1.31964,0.86694,1.22142,0.78759,0.61771,0.72389,0.44759,1.24813,0.80365,1.18059,0.00833335,0.00833335,0.00833335
