epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,516.453,1.2555,1.31037,0,0.75944,0.5755,0.68164,0.40701,0.77834,0.9534,0,0.003328,0.003328,0.003328
2,1020.32,1.3916,0.98945,0,0.75893,0.58575,0.68382,0.4011,1.02689,0.91613,0,0.00658732,0.00658732,0.00658732
3,1525.81,1.41185,0.97459,0,0.75163,0.57933,0.68049,0.4003,1.198,0.93288,0,0.00977257,0.00977257,0.00977257
4,2043.13,1.41962,0.96399,0,0.74181,0.57388,0.67429,0.39506,1.32885,0.92576,0,0.00966667,0.00966667,0.00966667
5,606.873,1.24159,0.94725,0,0.75865,0.59019,0.69431,0.41592,0.79099,0.87748,0,0.00955556,0.00955556,0.00955556
6,1115.26,1.39906,0.93183,0,0.75516,0.59272,0.69053,0.41153,1.02282,0.88836,0,0.00944445,0.00944445,0.00944445
7,1624.62,1.38966,0.91942,0,0.76762,0.5975,0.70353,0.42244,1.16466,0.86473,0,0.00933334,0.00933334,0.00933334
8,2135.7,1.38189,0.90848,0,0.76205,0.58394,0.69203,0.41289,1.28493,0.87724,0,0.00922223,0.00922223,0.00922223
9,2655.08,1.38687,0.91226,0,0.77367,0.60047,0.70885,0.42802,1.28085,0.84535,0,0.00911112,0.00911112,0.00911112
10,3173.31,1.37717,0.90557,0,0.78236,0.60067,0.70948,0.42811,1.30906,0.85627,0,0.00900001,0.00900001,0.00900001
11,3693.58,1.37032,0.89548,0,0.77617,0.60531,0.71288,0.4353,1.29337,0.83536,0,0.0088889,0.0088889,0.0088889
12,4222.64,1.36488,0.8938,0,0.77969,0.60913,0.71594,0.43568,1.30536,0.83282,0,0.00877779,0.00877779,0.00877779
13,4742.51,1.36866,0.88905,0,0.78324,0.60732,0.71648,0.43486,1.30436,0.8344,0,0.00866668,0.00866668,0.00866668
