step,box_grad_norm,dfl_grad_norm,dfl_box_norm_ratio,grad_cosine,fg_num,loss_box,loss_dfl
10,1.37364622e-02,4.75963531e-03,3.46496433e-01,3.74105752e-01,9277,2.20818853e+00,1.72519422e+00
20,1.31216012e-02,4.61945822e-03,3.52049887e-01,4.09107000e-01,8489,2.08813906e+00,1.62991166e+00
30,1.22582614e-02,3.90140642e-03,3.18267524e-01,4.12325382e-01,10697,2.01787972e+00,1.56946313e+00
40,1.33726792e-02,4.01538517e-03,3.00267816e-01,4.22485769e-01,8713,1.87875056e+00,1.46083164e+00
50,1.48336403e-02,3.96849914e-03,2.67533720e-01,4.43335146e-01,8233,1.89456654e+00,1.38591051e+00
60,1.46354958e-02,3.63287539e-03,2.48223588e-01,4.41099674e-01,9582,1.93034065e+00,1.36496568e+00
70,1.52556607e-02,3.80255259e-03,2.49255195e-01,4.32279348e-01,8962,1.88439441e+00,1.39265847e+00
80,1.70708485e-02,3.62055586e-03,2.12089971e-01,4.35555547e-01,9083,1.90758455e+00,1.28946793e+00
90,1.50980689e-02,3.54046491e-03,2.34497860e-01,4.50907558e-01,11088,2.09463573e+00,1.33056211e+00
100,1.63995624e-02,3.58947110e-03,2.18876034e-01,4.43552047e-01,10206,1.91772580e+00,1.31504059e+00
110,1.55984154e-02,3.70675977e-03,2.37636939e-01,4.52821821e-01,9872,1.90674484e+00,1.33941460e+00
120,1.62307825e-02,3.56612797e-03,2.19713867e-01,4.54721421e-01,10094,1.88523638e+00,1.28570747e+00
130,1.57664921e-02,3.63315339e-03,2.30435118e-01,4.63039279e-01,9013,1.76921952e+00,1.26869273e+00
140,1.49155296e-02,3.62215866e-03,2.42844790e-01,4.46662962e-01,9893,1.80020213e+00,1.32974827e+00
150,1.48404194e-02,3.52158980e-03,2.37297192e-01,4.52203006e-01,9616,1.79176033e+00,1.30119276e+00
160,1.53421266e-02,3.83603550e-03,2.50032842e-01,4.59823966e-01,8449,1.78432488e+00,1.31318343e+00
170,1.41774509e-02,3.50085087e-03,2.46930912e-01,4.60336506e-01,10216,1.83147120e+00,1.30120170e+00
180,1.28902551e-02,3.41891334e-03,2.65232414e-01,4.57079172e-01,10098,1.74180782e+00,1.30239367e+00
190,1.35740330e-02,3.49241775e-03,2.57286668e-01,4.51926768e-01,9616,1.70829213e+00,1.30077982e+00
200,1.23805813e-02,3.71153397e-03,2.99786717e-01,4.63153630e-01,8908,1.66099703e+00,1.32802701e+00
210,1.25553887e-02,3.23542184e-03,2.57691890e-01,4.64036733e-01,10604,1.69090176e+00,1.27271008e+00
220,1.33856796e-02,3.49405850e-03,2.61029601e-01,4.50008512e-01,9419,1.70275116e+00,1.32167208e+00
230,1.30026201e-02,3.45583819e-03,2.65780151e-01,4.56745327e-01,9285,1.69028091e+00,1.30166233e+00
240,1.40851652e-02,3.58113041e-03,2.54248381e-01,4.61578906e-01,9514,1.84997976e+00,1.30982649e+00
250,1.22066261e-02,3.33785871e-03,2.73446470e-01,4.41034317e-01,10126,1.67336977e+00,1.31976771e+00
260,1.18657220e-02,3.28543712e-03,2.76884735e-01,4.62214828e-01,10380,1.59564257e+00,1.28873646e+00
270,1.26534849e-02,3.60792200e-03,2.85132676e-01,4.68408465e-01,8162,1.56931269e+00,1.30093122e+00
280,1.21148974e-02,3.35220550e-03,2.76701093e-01,4.54544842e-01,10028,1.62455285e+00,1.30247378e+00
290,1.17602777e-02,3.16370931e-03,2.69016534e-01,4.59732473e-01,10885,1.60944796e+00,1.27735949e+00
300,1.14124445e-02,3.15689482e-03,2.76618630e-01,4.76784468e-01,11109,1.64819109e+00,1.30239296e+00
310,1.36058470e-02,3.45645356e-03,2.54041791e-01,4.29638207e-01,7825,1.45337152e+00,1.26980472e+00
320,1.38935447e-02,3.46563174e-03,2.49441862e-01,4.49582756e-01,8678,1.63530290e+00,1.27272820e+00
330,1.30472556e-02,3.60250217e-03,2.76111871e-01,4.72376794e-01,7797,1.56115258e+00,1.28035963e+00
340,1.18982391e-02,3.21558188e-03,2.70256966e-01,4.58548129e-01,11358,1.67907369e+00,1.31615376e+00
350,1.15454430e-02,3.18685547e-03,2.76027113e-01,4.73507404e-01,10209,1.57715440e+00,1.26852298e+00
360,1.18347341e-02,3.14442627e-03,2.65694708e-01,4.59892005e-01,10075,1.56493926e+00,1.25595880e+00
370,1.19784679e-02,3.38405324e-03,2.82511353e-01,4.57588851e-01,10154,1.67051089e+00,1.31952870e+00
380,1.23236561e-02,3.43754236e-03,2.78938502e-01,4.60813701e-01,8883,1.58757985e+00,1.29341221e+00
390,1.19659631e-02,3.29098501e-03,2.75028855e-01,4.54296350e-01,10246,1.63344407e+00,1.31275058e+00
400,1.07000414e-02,3.42841004e-03,3.20410907e-01,4.77702022e-01,10040,1.67501247e+00,1.33464015e+00
410,1.24315796e-02,3.47680692e-03,2.79675394e-01,4.58996177e-01,9738,1.69389069e+00,1.31280291e+00
420,1.23635465e-02,3.09514836e-03,2.50344694e-01,4.53159153e-01,10671,1.62668824e+00,1.25928235e+00
430,1.19768772e-02,3.91064025e-03,3.26515853e-01,4.51294601e-01,8286,1.64684784e+00,1.40148556e+00
440,1.22615676e-02,3.46584013e-03,2.82658815e-01,4.52341795e-01,8806,1.56448269e+00,1.28461683e+00
450,1.11395754e-02,3.13759968e-03,2.81662405e-01,4.58850533e-01,10629,1.53931749e+00,1.27079248e+00
460,1.25882383e-02,3.51201626e-03,2.78991878e-01,4.48263258e-01,8933,1.60716593e+00,1.29877257e+00
470,1.28205679e-02,3.74015188e-03,2.91730583e-01,4.68483686e-01,7578,1.56203568e+00,1.29149866e+00
480,1.21548343e-02,3.39602632e-03,2.79397160e-01,4.59290206e-01,8341,1.46919668e+00,1.27607131e+00
490,1.24101164e-02,3.56369675e-03,2.87160635e-01,4.51186776e-01,8611,1.56169748e+00,1.30888414e+00
500,1.11318501e-02,3.13158263e-03,2.81317353e-01,4.68354881e-01,11011,1.58457148e+00,1.26883888e+00
510,1.19650811e-02,3.41615360e-03,2.85510272e-01,4.72752005e-01,9022,1.60450912e+00,1.28355885e+00
520,1.40848598e-02,3.44304647e-03,2.44450182e-01,4.42935944e-01,8768,1.64052033e+00,1.27654254e+00
530,1.16044516e-02,3.11673665e-03,2.68581122e-01,4.60827172e-01,10888,1.69231856e+00,1.27989507e+00
540,1.33044096e-02,3.37771862e-03,2.53879637e-01,4.45758790e-01,9342,1.63374555e+00,1.27495551e+00
550,1.27539104e-02,2.93179764e-03,2.29874417e-01,4.51006591e-01,11507,1.65905631e+00,1.24098325e+00
560,1.17200837e-02,3.43203638e-03,2.92833775e-01,4.67233688e-01,8810,1.53544211e+00,1.28032446e+00
570,1.16451895e-02,3.04938084e-03,2.61857569e-01,4.56082225e-01,11671,1.69161427e+00,1.27397799e+00
580,1.13923214e-02,3.04437499e-03,2.67230421e-01,4.54106569e-01,12514,1.73967206e+00,1.31126523e+00
590,1.15431752e-02,3.00994120e-03,2.60755062e-01,4.68164355e-01,11244,1.61488068e+00,1.26015735e+00
600,1.22021446e-02,3.28511139e-03,2.69224107e-01,4.43302095e-01,10336,1.63209724e+00,1.30219889e+00
610,1.27448114e-02,3.43762105e-03,2.69727111e-01,4.41171348e-01,9339,1.63054609e+00,1.30288577e+00
620,1.32878860e-02,3.18894978e-03,2.39989251e-01,4.50128466e-01,9854,1.67704916e+00,1.24871480e+00
630,1.25281503e-02,2.96766707e-03,2.36879900e-01,4.44262981e-01,10845,1.59874892e+00,1.24003482e+00
640,1.22137656e-02,3.19848163e-03,2.61875153e-01,4.65910196e-01,10416,1.60446703e+00,1.28091645e+00
650,1.12991743e-02,3.16665019e-03,2.80255020e-01,4.70537633e-01,10137,1.52632236e+00,1.27091181e+00
660,1.31156370e-02,3.21861263e-03,2.45402694e-01,4.41127539e-01,10374,1.72185206e+00,1.27857316e+00
670,1.23844184e-02,3.33057949e-03,2.68933058e-01,4.45623457e-01,9811,1.64985085e+00,1.29891205e+00
680,1.16266124e-02,3.24751833e-03,2.79317677e-01,4.62415516e-01,9813,1.59203148e+00,1.30082250e+00
690,1.11622075e-02,3.50437197e-03,3.13949734e-01,4.45221066e-01,9986,1.59158075e+00,1.35658312e+00
700,1.17423013e-02,3.42510198e-03,2.91689157e-01,4.65674043e-01,9361,1.60216308e+00,1.31037986e+00
710,1.21994624e-02,3.37839010e-03,2.76929438e-01,4.50203538e-01,10303,1.67549229e+00,1.33455002e+00
720,1.15809608e-02,3.21860495e-03,2.77922094e-01,4.68496919e-01,10133,1.55532908e+00,1.26139128e+00
730,1.19625852e-02,3.49942339e-03,2.92530686e-01,4.62775111e-01,8096,1.46768069e+00,1.28585351e+00
740,1.24197006e-02,3.22095188e-03,2.59342164e-01,4.67403769e-01,9745,1.55566788e+00,1.25995719e+00
750,1.13776410e-02,3.14192125e-03,2.76148736e-01,4.43281829e-01,10177,1.52652979e+00,1.29244328e+00
760,1.15804411e-02,3.30333575e-03,2.85251290e-01,4.58295912e-01,9851,1.57243335e+00,1.29792905e+00
770,1.15317693e-02,3.25091369e-03,2.81909347e-01,4.60276544e-01,9844,1.57724571e+00,1.28498328e+00
780,1.23422369e-02,3.78167862e-03,3.06401402e-01,4.46202934e-01,7944,1.55365705e+00,1.34801483e+00
790,1.04489475e-02,3.24091059e-03,3.10166210e-01,4.70998287e-01,10143,1.54870546e+00,1.31313348e+00
