epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.235,1.79939,2.10615,1.34597,0.67011,0.20694,0.21481,0.12488,1.45796,1.16822,1.25559,0.000369225,0.000369225,0.000369225
2,303.214,1.59327,1.24093,1.28706,0.55255,0.24246,0.25179,0.14143,1.42635,1.07926,1.2448,0.00070258,0.00070258,0.00070258
3,430.23,1.55439,1.17942,1.28827,0.2987,0.25943,0.2571,0.14638,1.39617,1.05063,1.25271,0.000998903,0.000998903,0.000998903
4,556.551,1.5317,1.14118,1.27695,0.52392,0.26344,0.27339,0.15639,1.36789,1.00356,1.24349,0.000944352,0.000944352,0.000944352
5,681.912,1.51862,1.10746,1.27027,0.48902,0.2952,0.30782,0.17735,1.34605,0.95985,1.23025,0.000888802,0.000888802,0.000888802
6,807.344,1.50589,1.08158,1.26538,0.46073,0.28644,0.31165,0.17589,1.34126,0.95055,1.22504,0.000833253,0.000833253,0.000833253
7,932.903,1.49177,1.06396,1.25551,0.60843,0.27834,0.30204,0.17192,1.33037,0.93452,1.21843,0.000777703,0.000777703,0.000777703
8,1058.31,1.47701,1.04719,1.25228,0.4835,0.32497,0.33038,0.18233,1.32881,0.91177,1.21994,0.000722154,0.000722154,0.000722154
9,1183.36,1.47021,1.03058,1.24724,0.38392,0.31197,0.31234,0.17758,1.32117,0.92779,1.22499,0.000666604,0.000666604,0.000666604
10,1308.25,1.45251,1.0157,1.24019,0.38067,0.31786,0.31637,0.18419,1.2959,0.90733,1.20285,0.000611055,0.000611055,0.000611055
11,1424.41,1.42176,0.99177,1.25269,0.41445,0.32898,0.33108,0.1889,1.30829,0.90263,1.21538,0.000555506,0.000555506,0.000555506
12,1540.58,1.40902,0.97339,1.24654,0.44663,0.32278,0.33171,0.19028,1.30648,0.88759,1.21099,0.000499956,0.000499956,0.000499956
13,1656.62,1.39652,0.95694,1.23609,0.46049,0.32929,0.34263,0.19469,1.2987,0.88213,1.20438,0.000444407,0.000444407,0.000444407
14,1772.78,1.39181,0.94409,1.23183,0.40945,0.33837,0.33146,0.18983,1.29075,0.87541,1.1983,0.000388857,0.000388857,0.000388857
15,1888.86,1.3843,0.9336,1.23048,0.40598,0.35416,0.34554,0.19597,1.287,0.86258,1.19809,0.000333308,0.000333308,0.000333308
16,2005.57,1.37683,0.924,1.22408,0.40453,0.35533,0.34489,0.19714,1.28692,0.85881,1.20077,0.000277758,0.000277758,0.000277758
17,2122.2,1.37043,0.91678,1.22234,0.41559,0.34197,0.34551,0.19605,1.28088,0.85662,1.19701,0.000222209,0.000222209,0.000222209
18,2238.98,1.36136,0.90746,1.21555,0.43471,0.34673,0.3479,0.19936,1.28099,0.85076,1.19423,0.000166659,0.000166659,0.000166659
19,2356.01,1.35323,0.896,1.20861,0.42537,0.34697,0.35065,0.20013,1.27649,0.84703,1.19319,0.00011111,0.00011111,0.00011111
20,2472.75,1.34749,0.88923,1.20651,0.45071,0.34573,0.35203,0.20032,1.27301,0.84095,1.19018,5.55606e-05,5.55606e-05,5.55606e-05
