epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.77,1.80746,2.0639,1.3462,0.62851,0.21089,0.21153,0.12469,1.42998,1.14156,1.24379,0.000369225,0.000369225,0.000369225
2,303.674,1.58851,1.23177,1.2905,0.64721,0.21619,0.24618,0.14059,1.42481,1.08817,1.26323,0.00070258,0.00070258,0.00070258
3,440.945,1.55262,1.17114,1.2898,0.49973,0.27065,0.2641,0.15286,1.37221,1.02529,1.24608,0.000998903,0.000998903,0.000998903
4,595.83,1.5329,1.13171,1.27984,0.37549,0.29457,0.29383,0.16754,1.3465,1.00453,1.24129,0.000944352,0.000944352,0.000944352
5,723.244,1.51139,1.09278,1.27111,0.478,0.27945,0.29246,0.16603,1.35161,0.98516,1.23317,0.000888802,0.000888802,0.000888802
6,850.208,1.49753,1.07161,1.2657,0.41814,0.29272,0.30172,0.17436,1.32752,0.94348,1.23501,0.000833253,0.000833253,0.000833253
7,977.652,1.4824,1.05399,1.25718,0.49427,0.30532,0.30757,0.17421,1.32272,0.93001,1.22921,0.000777703,0.000777703,0.000777703
8,1104.93,1.47784,1.03664,1.25496,0.37787,0.33298,0.32529,0.17808,1.32569,0.91055,1.23068,0.000722154,0.000722154,0.000722154
9,1232.27,1.4637,1.02283,1.24903,0.4161,0.32736,0.33243,0.18651,1.3238,0.90984,1.22837,0.000666604,0.000666604,0.000666604
10,1359.41,1.45558,1.01595,1.24548,0.41478,0.32014,0.32218,0.18581,1.30105,0.89663,1.21443,0.000611055,0.000611055,0.000611055
11,1477.26,1.42028,0.98944,1.25476,0.42412,0.32862,0.32416,0.18679,1.30042,0.88762,1.21167,0.000555506,0.000555506,0.000555506
12,1595.35,1.40536,0.96635,1.24503,0.42664,0.32728,0.337,0.19222,1.29488,0.87533,1.21251,0.000499956,0.000499956,0.000499956
13,1713.32,1.39785,0.95237,1.24422,0.45336,0.34624,0.35022,0.19962,1.28318,0.87159,1.2089,0.000444407,0.000444407,0.000444407
14,1831.17,1.38903,0.94199,1.23713,0.42172,0.34299,0.33835,0.19323,1.2876,0.87046,1.20957,0.000388857,0.000388857,0.000388857
15,1949.29,1.38557,0.93161,1.23259,0.40336,0.34933,0.33622,0.19219,1.28124,0.85646,1.2008,0.000333308,0.000333308,0.000333308
16,2066.97,1.37493,0.92072,1.2274,0.42999,0.33925,0.34128,0.19453,1.27805,0.85467,1.20349,0.000277758,0.000277758,0.000277758
17,2184.48,1.36711,0.9089,1.22274,0.4504,0.34761,0.34318,0.19603,1.2749,0.85009,1.19898,0.000222209,0.000222209,0.000222209
18,2303,1.36271,0.90344,1.2173,0.44711,0.34198,0.34858,0.20094,1.27688,0.84899,1.20015,0.000166659,0.000166659,0.000166659
19,2421.26,1.35699,0.89587,1.21158,0.47442,0.3398,0.35322,0.20246,1.2778,0.84465,1.19971,0.00011111,0.00011111,0.00011111
20,2539.49,1.34881,0.88632,1.20972,0.454,0.3557,0.35631,0.20529,1.27492,0.83913,1.19732,5.55606e-05,5.55606e-05,5.55606e-05
