epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.885,1.80606,2.08204,0,0.63169,0.20515,0.22364,0.12987,1.45507,1.14254,0,0.000369225,0.000369225,0.000369225
2,267.717,1.59173,1.23281,0,0.52642,0.23861,0.25446,0.13837,1.46118,1.10783,0,0.00070258,0.00070258,0.00070258
3,396.064,1.56075,1.17348,0,0.30463,0.26924,0.27418,0.15113,1.41901,1.05055,0,0.000998903,0.000998903,0.000998903
4,523.162,1.53007,1.12838,0,0.34449,0.26996,0.27579,0.15625,1.35062,0.99769,0,0.000944352,0.000944352,0.000944352
5,650.332,1.51734,1.09551,0,0.38498,0.30625,0.29855,0.17008,1.36299,0.96826,0,0.000888802,0.000888802,0.000888802
6,777.365,1.50139,1.07283,0,0.39005,0.30727,0.30162,0.16947,1.33404,0.94797,0,0.000833253,0.000833253,0.000833253
7,905.176,1.49294,1.06271,0,0.45774,0.31775,0.31367,0.17666,1.341,0.92951,0,0.000777703,0.000777703,0.000777703
8,1032.78,1.48003,1.04038,0,0.45106,0.32963,0.33244,0.1861,1.32007,0.9234,0,0.000722154,0.000722154,0.000722154
9,1160.62,1.46846,1.02563,0,0.41864,0.33032,0.33368,0.18934,1.32928,0.90113,0,0.000666604,0.000666604,0.000666604
10,1287.83,1.46111,1.01049,0,0.40162,0.33555,0.32901,0.18775,1.30416,0.89878,0,0.000611055,0.000611055,0.000611055
11,1406.08,1.42524,0.98938,0,0.43642,0.33281,0.33576,0.19118,1.29737,0.89093,0,0.000555506,0.000555506,0.000555506
12,1524.23,1.41396,0.96669,0,0.40483,0.33505,0.3349,0.19197,1.29971,0.88069,0,0.000499956,0.000499956,0.000499956
13,1642.37,1.40217,0.95342,0,0.41983,0.3366,0.33761,0.19004,1.31645,0.88651,0,0.000444407,0.000444407,0.000444407
14,1759.99,1.39688,0.94111,0,0.4182,0.34103,0.33913,0.19138,1.30245,0.87338,0,0.000388857,0.000388857,0.000388857
15,1877.55,1.38739,0.92838,0,0.45776,0.3442,0.34562,0.19591,1.29266,0.85974,0,0.000333308,0.000333308,0.000333308
16,1995.55,1.38298,0.91724,0,0.46544,0.34853,0.35283,0.20048,1.27909,0.84914,0,0.000277758,0.000277758,0.000277758
17,2113.45,1.37752,0.90973,0,0.42329,0.35116,0.34644,0.19798,1.28503,0.85515,0,0.000222209,0.000222209,0.000222209
18,2231.03,1.36735,0.89927,0,0.39984,0.34697,0.34179,0.19672,1.28003,0.85162,0,0.000166659,0.000166659,0.000166659
19,2349.09,1.36232,0.89128,0,0.40826,0.3532,0.34496,0.19903,1.28171,0.84566,0,0.00011111,0.00011111,0.00011111
20,2467.14,1.35718,0.88337,0,0.40922,0.36323,0.34964,0.20104,1.28352,0.84232,0,5.55606e-05,5.55606e-05,5.55606e-05
