step,box_grad_norm,dfl_grad_norm,dfl_box_norm_ratio,grad_cosine,fg_num,loss_box,loss_dfl
10,1.40506197e-02,3.88999120e-03,2.76855499e-01,3.95222455e-01,7959,1.63771152e+00,1.40202880e+00
20,1.59793962e-02,4.24745446e-03,2.65808195e-01,4.03324932e-01,5429,1.42428529e+00,1.32043684e+00
30,1.41204568e-02,3.75040295e-03,2.65600681e-01,4.13642645e-01,6559,1.39324212e+00,1.30540371e+00
40,1.43767400e-02,3.83775169e-03,2.66941726e-01,3.91946375e-01,6028,1.31956530e+00,1.31601548e+00
50,1.69505961e-02,3.63468053e-03,2.14427888e-01,3.88708532e-01,6103,1.43253660e+00,1.22966385e+00
60,1.31998016e-02,3.59445880e-03,2.72311568e-01,4.03086871e-01,7308,1.37948906e+00,1.31498897e+00
70,1.38507206e-02,3.80158611e-03,2.74468482e-01,4.13955212e-01,7189,1.48921418e+00,1.30892897e+00
80,1.28839808e-02,3.86066758e-03,2.99648672e-01,4.24640119e-01,6531,1.36076438e+00,1.29531562e+00
90,1.27153518e-02,3.57169169e-03,2.80896008e-01,4.23390090e-01,7734,1.41283131e+00,1.28787327e+00
100,1.30861783e-02,3.85760656e-03,2.94784814e-01,4.16681439e-01,8176,1.63035178e+00,1.36963201e+00
110,1.29511962e-02,3.64758796e-03,2.81641006e-01,4.51006651e-01,8267,1.56137943e+00,1.28405917e+00
120,1.31433271e-02,3.66981910e-03,2.79215395e-01,4.34980661e-01,7032,1.43009841e+00,1.28167069e+00
130,1.27470186e-02,3.81913036e-03,2.99609691e-01,4.40147191e-01,6660,1.37027740e+00,1.30215967e+00
140,1.28362579e-02,3.92965553e-03,3.06137145e-01,4.32444423e-01,6452,1.40443230e+00,1.34777141e+00
150,1.27441445e-02,4.14912635e-03,3.25571179e-01,4.21562582e-01,6408,1.44985950e+00,1.37189281e+00
160,1.40612973e-02,3.98009922e-03,2.83053488e-01,4.15803432e-01,5984,1.36275697e+00,1.28333020e+00
170,1.26665514e-02,4.30119876e-03,3.39571416e-01,4.19283122e-01,5927,1.44905281e+00,1.42584026e+00
180,1.31025156e-02,3.77075677e-03,2.87788779e-01,4.16911900e-01,7806,1.69438446e+00,1.36606514e+00
190,1.46170901e-02,4.27325768e-03,2.92346686e-01,4.24304724e-01,4920,1.30698848e+00,1.29294741e+00
200,1.47073679e-02,4.24857903e-03,2.88874179e-01,4.00781870e-01,5672,1.46904421e+00,1.33538723e+00
210,1.28202857e-02,3.77075491e-03,2.94124097e-01,4.26907748e-01,7145,1.45328689e+00,1.32726836e+00
220,1.37801869e-02,3.80358752e-03,2.76018560e-01,4.10281867e-01,7340,1.55454302e+00,1.33396745e+00
230,1.40465973e-02,3.78742651e-03,2.69633025e-01,4.20069426e-01,6678,1.44939017e+00,1.29602182e+00
240,1.32853547e-02,3.86707252e-03,2.91077852e-01,4.25732672e-01,6717,1.51054323e+00,1.31399667e+00
250,1.51888635e-02,4.03433014e-03,2.65611053e-01,4.10655499e-01,4982,1.28187644e+00,1.23496509e+00
260,1.38268424e-02,3.63046513e-03,2.62566477e-01,4.14898634e-01,7131,1.40823817e+00,1.27104223e+00
270,1.48757184e-02,4.01035603e-03,2.69590735e-01,4.08546507e-01,5682,1.37925017e+00,1.29381692e+00
280,1.27469404e-02,3.84230423e-03,3.01429540e-01,4.10778791e-01,6056,1.29872441e+00,1.30771458e+00
