epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,471.73,1.40509,1.37483,1.28417,0.76163,0.58354,0.6825,0.40714,1.30091,0.96434,1.21659,0.003328,0.003328,0.003328
2,844.349,1.37156,1.00343,1.25423,0.76012,0.58252,0.67923,0.40613,1.3108,0.93903,1.22675,0.00658732,0.00658732,0.00658732
3,1214.63,1.3897,0.98014,1.26469,0.75381,0.58351,0.68232,0.40437,1.33455,0.92361,1.23366,0.00977257,0.00977257,0.00977257
4,1584.84,1.39717,0.96405,1.2687,0.76317,0.57259,0.67662,0.40054,1.34807,0.91148,1.25337,0.00966667,0.00966667,0.00966667
5,1954.32,1.38752,0.94481,1.26514,0.76643,0.58795,0.69108,0.41285,1.31211,0.87979,1.23522,0.00955556,0.00955556,0.00955556
6,2323.06,1.37281,0.9272,1.26103,0.76251,0.58685,0.69139,0.41117,1.32977,0.88306,1.22726,0.00944445,0.00944445,0.00944445
7,2693.25,1.37229,0.9177,1.25344,0.77498,0.5927,0.69737,0.41902,1.31109,0.85798,1.22438,0.00933334,0.00933334,0.00933334
8,3063.63,1.36048,0.90969,1.24943,0.77534,0.59705,0.70229,0.42187,1.31099,0.86226,1.22447,0.00922223,0.00922223,0.00922223
9,3433.21,1.35563,0.90079,1.24333,0.77756,0.59632,0.70481,0.4302,1.2836,0.84267,1.20417,0.00911112,0.00911112,0.00911112
10,3803.72,1.345,0.8957,1.24348,0.77819,0.59924,0.70741,0.43171,1.28082,0.84013,1.21192,0.00900001,0.00900001,0.00900001
11,4172.19,1.33861,0.88766,1.23823,0.78486,0.60419,0.71409,0.43889,1.27006,0.81106,1.19981,0.0088889,0.0088889,0.0088889
12,4538.88,1.33658,0.88416,1.23655,0.78047,0.61044,0.71444,0.43611,1.27402,0.83903,1.19639,0.00877779,0.00877779,0.00877779
13,4902.76,1.33062,0.87708,1.23075,0.78681,0.60953,0.71834,0.43964,1.26842,0.81755,1.19572,0.00866668,0.00866668,0.00866668
14,5264.97,1.32516,0.87075,1.22795,0.78819,0.61113,0.71966,0.44429,1.25202,0.8193,1.1859,0.00855557,0.00855557,0.00855557
15,5626.75,1.31767,0.86883,1.22493,0.78365,0.61545,0.72131,0.44406,1.25041,0.81606,1.18989,0.00844446,0.00844446,0.00844446
