epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.92,1.8242,2.36425,1.3537,0.66925,0.1957,0.20848,0.1261,0.12016,1.461,1.22889,1.27742,0.000368852,0.000368852,0.000368852
2,371.12,1.59554,1.24485,1.29573,0.61081,0.24267,0.24865,0.14544,0.1427,1.43044,1.09891,1.24378,0.000702226,0.000702226,0.000702226
3,530.696,1.55978,1.18264,1.28723,0.53816,0.26352,0.2734,0.15844,0.15616,1.38792,1.05593,1.24721,0.000998568,0.000998568,0.000998568
4,691.893,1.533,1.13606,1.28021,0.41283,0.27902,0.27487,0.15937,0.15656,1.39851,1.0242,1.2539,0.000944352,0.000944352,0.000944352
5,854.77,1.51776,1.10378,1.27375,0.43462,0.2824,0.29945,0.16493,0.16858,1.35408,0.98186,1.23736,0.000888802,0.000888802,0.000888802
6,1016.91,1.49837,1.07992,1.26459,0.37139,0.2952,0.30049,0.17583,0.17217,1.35139,0.96003,1.22959,0.000833253,0.000833253,0.000833253
7,1178.94,1.49587,1.06253,1.26276,0.47146,0.2957,0.31458,0.1818,0.17989,1.32477,0.9309,1.22779,0.000777703,0.000777703,0.000777703
8,1341.1,1.47206,1.04199,1.25757,0.49121,0.32147,0.33147,0.1853,0.18768,1.33596,0.92524,1.22173,0.000722154,0.000722154,0.000722154
9,1503.44,1.47698,1.03843,1.25243,0.37198,0.32667,0.31525,0.17835,0.1777,1.31038,0.91313,1.21861,0.000666604,0.000666604,0.000666604
10,1665.96,1.45779,1.01344,1.24556,0.42642,0.31485,0.31743,0.18487,0.18188,1.30547,0.90342,1.21044,0.000611055,0.000611055,0.000611055
11,1816.97,1.42154,0.99083,1.2521,0.42608,0.32968,0.32404,0.17993,0.18237,1.3231,0.90943,1.21849,0.000555506,0.000555506,0.000555506
12,1967.11,1.41224,0.97107,1.24855,0.44031,0.32738,0.33581,0.18993,0.19131,1.31329,0.89925,1.21003,0.000499956,0.000499956,0.000499956
13,2117.46,1.40228,0.95862,1.24219,0.44662,0.32045,0.33608,0.1896,0.19303,1.29274,0.87934,1.20391,0.000444407,0.000444407,0.000444407
14,2266.53,1.39425,0.94652,1.2364,0.39953,0.32962,0.32854,0.1871,0.18948,1.29202,0.87679,1.20421,0.000388857,0.000388857,0.000388857
15,2416.07,1.38695,0.93387,1.2302,0.42736,0.33914,0.34417,0.19354,0.19586,1.29484,0.86998,1.2024,0.000333308,0.000333308,0.000333308
16,2567.65,1.3782,0.92467,1.22442,0.4647,0.33455,0.34956,0.19901,0.19981,1.28168,0.85942,1.19809,0.000277758,0.000277758,0.000277758
17,2719.25,1.37343,0.9147,1.22221,0.44521,0.33944,0.35185,0.19778,0.19943,1.29343,0.86039,1.202,0.000222209,0.000222209,0.000222209
18,2870.34,1.36349,0.9026,1.21736,0.45231,0.3478,0.357,0.20041,0.20497,1.28297,0.85294,1.19592,0.000166659,0.000166659,0.000166659
19,3018.77,1.35814,0.8958,1.21125,0.48974,0.34723,0.36697,0.2051,0.20781,1.2809,0.84626,1.19393,0.00011111,0.00011111,0.00011111
20,3166.86,1.35136,0.88934,1.20638,0.45776,0.34619,0.36003,0.20343,0.2073,1.28043,0.84607,1.19306,5.55606e-05,5.55606e-05,5.55606e-05
