epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.506,1.83088,2.35761,0,0.61867,0.19597,0.20829,0.12397,0.11904,1.47001,1.23208,0,0.000368852,0.000368852,0.000368852
2,363.501,1.59976,1.24019,0,0.48825,0.25274,0.24049,0.13654,0.13386,1.42095,1.10509,0,0.000702226,0.000702226,0.000702226
3,523.247,1.56492,1.17851,0,0.51698,0.27355,0.2719,0.15866,0.15524,1.40887,1.06076,0,0.000998568,0.000998568,0.000998568
4,683.482,1.53605,1.13332,0,0.55126,0.28146,0.28681,0.15967,0.16062,1.40036,1.02653,0,0.000944352,0.000944352,0.000944352
5,843.135,1.52262,1.10116,0,0.44613,0.27573,0.29369,0.16046,0.16365,1.36997,0.99575,0,0.000888802,0.000888802,0.000888802
6,1001.49,1.50464,1.07775,0,0.38689,0.30513,0.30333,0.17898,0.17419,1.3486,0.95858,0,0.000833253,0.000833253,0.000833253
7,1157.32,1.49781,1.05868,0,0.60848,0.28543,0.31398,0.18114,0.17878,1.3234,0.93509,0,0.000777703,0.000777703,0.000777703
8,1315.71,1.47648,1.04172,0,0.44629,0.3223,0.32153,0.18071,0.18117,1.33872,0.92773,0,0.000722154,0.000722154,0.000722154
9,1474.81,1.48093,1.03608,0,0.39418,0.31744,0.32315,0.18454,0.18218,1.31529,0.9171,0,0.000666604,0.000666604,0.000666604
10,1633.35,1.45942,1.01101,0,0.43239,0.31728,0.3222,0.18849,0.18503,1.30575,0.90284,0,0.000611055,0.000611055,0.000611055
11,1781.25,1.42769,0.98703,0,0.38848,0.33997,0.31516,0.17331,0.17789,1.32148,0.90059,0,0.000555506,0.000555506,0.000555506
12,1928.77,1.41876,0.96853,0,0.46281,0.32484,0.34694,0.19953,0.19862,1.30714,0.88931,0,0.000499956,0.000499956,0.000499956
13,2075.78,1.4084,0.95376,0,0.41661,0.34142,0.34477,0.1974,0.19806,1.29635,0.87562,0,0.000444407,0.000444407,0.000444407
14,2223.92,1.39977,0.94201,0,0.37853,0.3451,0.32913,0.18951,0.18954,1.29134,0.87415,0,0.000388857,0.000388857,0.000388857
15,2372.06,1.39393,0.93196,0,0.41943,0.34007,0.3419,0.19394,0.19529,1.28816,0.86988,0,0.000333308,0.000333308,0.000333308
16,2519.63,1.38355,0.91971,0,0.43805,0.33537,0.33901,0.19086,0.19359,1.28619,0.85754,0,0.000277758,0.000277758,0.000277758
17,2667.61,1.37867,0.90935,0,0.42541,0.33607,0.34392,0.19119,0.19559,1.29963,0.85991,0,0.000222209,0.000222209,0.000222209
18,2815.07,1.36977,0.89805,0,0.42263,0.34303,0.34798,0.19733,0.19946,1.2843,0.85206,0,0.000166659,0.000166659,0.000166659
19,2962.96,1.36386,0.89124,0,0.44634,0.34648,0.35474,0.20064,0.20072,1.28389,0.8454,0,0.00011111,0.00011111,0.00011111
20,3110.02,1.35958,0.88396,0,0.43662,0.34291,0.35021,0.19471,0.19891,1.28169,0.84717,0,5.55606e-05,5.55606e-05,5.55606e-05
