epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,516.149,1.41204,1.40366,1.27361,0.7547,0.57242,0.67498,0.41388,0.40485,1.30045,0.96478,1.21681,0.00332623,0.00332623,0.00332623
2,1030.14,1.36748,0.99781,1.24769,0.76592,0.58735,0.6869,0.43086,0.41774,1.27906,0.9032,1.20545,0.00658556,0.00658556,0.00658556
3,1542.8,1.37971,0.97111,1.25561,0.73781,0.57331,0.66829,0.37984,0.38183,1.37342,0.94319,1.25834,0.00977083,0.00977083,0.00977083
4,2053.4,1.40222,0.96718,1.27399,0.7473,0.5712,0.67072,0.40251,0.39571,1.3565,0.91178,1.25326,0.00966667,0.00966667,0.00966667
5,2564.46,1.39288,0.94562,1.26751,0.75386,0.57563,0.674,0.40919,0.40011,1.34654,0.89873,1.25049,0.00955556,0.00955556,0.00955556
6,3075.01,1.37743,0.93256,1.2612,0.76442,0.57802,0.68407,0.41579,0.40632,1.3386,0.87732,1.2533,0.00944445,0.00944445,0.00944445
7,3587.11,1.36989,0.92061,1.25703,0.76184,0.58469,0.68201,0.41419,0.40493,1.34447,0.90212,1.24661,0.00933334,0.00933334,0.00933334
8,4098.43,1.36132,0.90759,1.25013,0.77736,0.59681,0.70308,0.4395,0.42699,1.29083,0.8485,1.21422,0.00922223,0.00922223,0.00922223
9,4609.36,1.35698,0.90379,1.24589,0.78162,0.59222,0.70206,0.44,0.42624,1.30022,0.83926,1.21759,0.00911112,0.00911112,0.00911112
10,5126.24,1.34813,0.89375,1.24118,0.77651,0.59853,0.70581,0.4449,0.43077,1.27655,0.83798,1.21011,0.00900001,0.00900001,0.00900001
11,5636.7,1.34798,0.89162,1.23732,0.78338,0.59872,0.70876,0.44994,0.43447,1.26818,0.83053,1.20346,0.0088889,0.0088889,0.0088889
12,6147.29,1.33727,0.88475,1.23708,0.77334,0.60491,0.71037,0.44643,0.43225,1.27967,0.83644,1.20543,0.00877779,0.00877779,0.00877779
13,6659.72,1.33092,0.87995,1.23165,0.78342,0.6101,0.71412,0.44508,0.43264,1.28333,0.83026,1.21377,0.00866668,0.00866668,0.00866668
14,7171.99,1.32762,0.87425,1.22959,0.78879,0.60875,0.71719,0.45378,0.43899,1.27307,0.81135,1.20239,0.00855557,0.00855557,0.00855557
15,7683.26,1.32484,0.8697,1.22747,0.77986,0.61359,0.71945,0.45835,0.44188,1.25641,0.81377,1.19079,0.00844446,0.00844446,0.00844446
16,8195.93,1.31899,0.86279,1.22207,0.78829,0.61792,0.72358,0.46156,0.4453,1.25102,0.80845,1.18549,0.00833335,0.00833335,0.00833335
17,8711.11,1.3124,0.86213,1.22263,0.79186,0.62013,0.72679,0.46783,0.44954,1.24179,0.7993,1.18659,0.00822224,0.00822224,0.00822224
18,9222.49,1.31579,0.85655,1.21931,0.79506,0.61947,0.72691,0.46392,0.44719,1.25169,0.79726,1.18655,0.00811113,0.00811113,0.00811113
19,9732.84,1.3102,0.85214,1.21642,0.7971,0.62058,0.73098,0.47496,0.45567,1.23221,0.77617,1.17458,0.00800002,0.00800002,0.00800002
20,10245.3,1.30759,0.84953,1.21388,0.79548,0.62631,0.73342,0.47632,0.45623,1.23023,0.77746,1.17636,0.00788891,0.00788891,0.00788891
21,10756.1,1.30267,0.84436,1.20929,0.79588,0.627,0.73604,0.47523,0.45709,1.22979,0.77336,1.17361,0.0077778,0.0077778,0.0077778
22,11268,1.30076,0.84252,1.20869,0.80155,0.62772,0.7368,0.48163,0.46048,1.21918,0.77205,1.16709,0.00766669,0.00766669,0.00766669
23,11779,1.29775,0.84061,1.20677,0.80115,0.62626,0.73797,0.48494,0.46329,1.20901,0.76525,1.16179,0.00755558,0.00755558,0.00755558
24,12291.1,1.29496,0.83765,1.20525,0.799,0.63055,0.73879,0.48397,0.46252,1.21521,0.7658,1.16804,0.00744447,0.00744447,0.00744447
25,12802.9,1.28751,0.83443,1.20423,0.80125,0.63337,0.74023,0.48373,0.46308,1.2144,0.76178,1.16672,0.00733336,0.00733336,0.00733336
26,13314.5,1.28836,0.83462,1.20526,0.79961,0.6328,0.74026,0.4873,0.46502,1.20506,0.75848,1.15904,0.00722225,0.00722225,0.00722225
27,13826.8,1.28784,0.83221,1.20193,0.80432,0.63576,0.74315,0.49005,0.46747,1.20178,0.75328,1.15784,0.00711114,0.00711114,0.00711114
28,14338.9,1.28716,0.83083,1.20032,0.79997,0.63907,0.74452,0.49047,0.46863,1.1958,0.75693,1.152,0.00700003,0.00700003,0.00700003
29,606.594,1.27571,0.82292,1.19409,0.8058,0.63737,0.746,0.49248,0.47033,1.19691,0.74348,1.15252,0.00688892,0.00688892,0.00688892
30,1113.2,1.27865,0.82276,1.19415,0.80272,0.63873,0.7459,0.49367,0.47044,1.19464,0.74648,1.14795,0.00677781,0.00677781,0.00677781
31,1621.67,1.27258,0.81919,1.19276,0.80444,0.63884,0.74753,0.49482,0.47246,1.18971,0.74456,1.15081,0.0066667,0.0066667,0.0066667
32,2128.75,1.27096,0.81758,1.19255,0.80701,0.6393,0.74733,0.49524,0.4727,1.18644,0.74719,1.14461,0.00655559,0.00655559,0.00655559
33,2634.46,1.26924,0.81433,1.1889,0.80459,0.64409,0.74985,0.49669,0.47384,1.18742,0.73997,1.14628,0.00644448,0.00644448,0.00644448
34,3144.74,1.26314,0.81313,1.18959,0.80684,0.64309,0.75051,0.49862,0.47582,1.18082,0.73526,1.14546,0.00633337,0.00633337,0.00633337
35,3662.88,1.263,0.81199,1.18718,0.80901,0.64373,0.75193,0.49927,0.47617,1.18325,0.73686,1.14223,0.00622226,0.00622226,0.00622226
36,4181.18,1.26092,0.80637,1.18612,0.80895,0.64578,0.7526,0.50079,0.4775,1.17963,0.73192,1.14351,0.00611115,0.00611115,0.00611115
37,4692.22,1.26151,0.8087,1.18596,0.80944,0.6469,0.75307,0.50309,0.47842,1.17801,0.7296,1.141,0.00600004,0.00600004,0.00600004
38,5220.89,1.25797,0.80429,1.18317,0.80945,0.64673,0.75402,0.50265,0.47874,1.17931,0.73017,1.14019,0.00588893,0.00588893,0.00588893
39,5816.07,1.26013,0.80356,1.1801,0.81016,0.64553,0.75396,0.50427,0.47985,1.17609,0.72632,1.13924,0.00577782,0.00577782,0.00577782
40,6334.78,1.25279,0.80375,1.18216,0.80997,0.64816,0.75478,0.5039,0.48043,1.17422,0.7252,1.13828,0.00566671,0.00566671,0.00566671
41,6853.18,1.25035,0.80089,1.17678,0.81109,0.6482,0.75499,0.50358,0.48036,1.17153,0.72498,1.13636,0.0055556,0.0055556,0.0055556
42,7371.47,1.24957,0.79795,1.17849,0.81011,0.64965,0.75602,0.50511,0.48131,1.16985,0.72286,1.13645,0.00544449,0.00544449,0.00544449
43,7889.39,1.24952,0.79687,1.17754,0.81144,0.64878,0.75625,0.5065,0.48245,1.16738,0.72362,1.13531,0.00533338,0.00533338,0.00533338
44,8407.88,1.24459,0.79292,1.17303,0.8111,0.65115,0.75796,0.50727,0.48324,1.16693,0.72103,1.13324,0.00522227,0.00522227,0.00522227
45,604.469,1.23383,0.78548,1.16881,0.814,0.65103,0.75826,0.50909,0.48427,1.16457,0.71752,1.13233,0.00511116,0.00511116,0.00511116
46,1114.73,1.23839,0.78735,1.16937,0.81476,0.65202,0.75908,0.50914,0.48442,1.16614,0.71603,1.13149,0.00500005,0.00500005,0.00500005
47,1620.65,1.23292,0.78315,1.16833,0.81186,0.6534,0.75924,0.50904,0.48442,1.16588,0.71745,1.13236,0.00488894,0.00488894,0.00488894
48,2147.88,1.23354,0.78293,1.16827,0.81235,0.65174,0.75853,0.50983,0.48467,1.16486,0.71689,1.13163,0.00477783,0.00477783,0.00477783
49,2675.26,1.23154,0.78023,1.16633,0.81179,0.65345,0.7587,0.50878,0.48451,1.1654,0.71645,1.13164,0.00466672,0.00466672,0.00466672
50,3202.01,1.22562,0.779,1.1651,0.81336,0.65452,0.75966,0.51019,0.4854,1.16325,0.71375,1.13036,0.00455561,0.00455561,0.00455561
51,3728.8,1.22555,0.7771,1.16489,0.81375,0.65435,0.7598,0.50994,0.48578,1.16297,0.71253,1.13025,0.0044445,0.0044445,0.0044445
52,4256.4,1.22519,0.77257,1.16332,0.81512,0.654,0.76014,0.51101,0.48623,1.16211,0.71141,1.12979,0.00433339,0.00433339,0.00433339
53,4782.99,1.22499,0.77469,1.16284,0.81643,0.65403,0.76072,0.51156,0.48649,1.16202,0.7103,1.12998,0.00422228,0.00422228,0.00422228
54,5315.21,1.22184,0.77039,1.16142,0.81642,0.65502,0.76068,0.51116,0.48642,1.16204,0.71079,1.13027,0.00411117,0.00411117,0.00411117
55,5841.91,1.22435,0.77105,1.15976,0.81776,0.65427,0.76082,0.5122,0.48721,1.16077,0.70921,1.13008,0.00400006,0.00400006,0.00400006
56,6367.98,1.21794,0.77044,1.16178,0.81727,0.65516,0.76137,0.51218,0.48745,1.15961,0.70828,1.13001,0.00388895,0.00388895,0.00388895
57,6894.96,1.21479,0.76744,1.15575,0.8175,0.65471,0.7614,0.51256,0.4877,1.15987,0.70772,1.12984,0.00377784,0.00377784,0.00377784
58,7423.35,1.21379,0.76452,1.15576,0.81583,0.65598,0.76155,0.51309,0.48798,1.15954,0.70732,1.12905,0.00366673,0.00366673,0.00366673
59,7949.17,1.21606,0.76471,1.15408,0.81503,0.65657,0.76177,0.51294,0.48822,1.15875,0.70654,1.12793,0.00355562,0.00355562,0.00355562
60,8475.52,1.21294,0.763,1.15365,0.81524,0.65737,0.76227,0.51327,0.48861,1.15828,0.70589,1.12764,0.00344451,0.00344451,0.00344451
61,9004.94,1.21373,0.76633,1.15768,0.81415,0.65831,0.76257,0.51365,0.48877,1.15758,0.70527,1.12722,0.0033334,0.0033334,0.0033334
62,9530.61,1.21715,0.7628,1.15627,0.81421,0.65827,0.76275,0.51375,0.48905,1.15712,0.70482,1.12697,0.00322229,0.00322229,0.00322229
63,10054.7,1.21222,0.75998,1.15408,0.81662,0.65784,0.76304,0.51468,0.48953,1.15628,0.70435,1.1265,0.00311118,0.00311118,0.00311118
64,10580.8,1.21058,0.7586,1.15051,0.81612,0.658,0.76309,0.5141,0.48966,1.156,0.70402,1.1261,0.00300007,0.00300007,0.00300007
65,11107.4,1.20723,0.75503,1.14763,0.8143,0.65956,0.76331,0.51465,0.48989,1.15566,0.70406,1.12568,0.00288896,0.00288896,0.00288896
66,11628.8,1.20758,0.75438,1.14754,0.81554,0.65929,0.76348,0.51467,0.49012,1.15517,0.70367,1.12501,0.00277785,0.00277785,0.00277785
67,12149.7,1.20372,0.75332,1.14657,0.81647,0.65817,0.76332,0.51546,0.49021,1.15485,0.70337,1.12463,0.00266674,0.00266674,0.00266674
68,12676.7,1.20325,0.75207,1.1467,0.81532,0.65895,0.76344,0.51548,0.49042,1.15423,0.70304,1.12412,0.00255563,0.00255563,0.00255563
69,13203.5,1.19788,0.74919,1.1444,0.81624,0.65861,0.76359,0.51544,0.49041,1.15414,0.70283,1.12376,0.00244452,0.00244452,0.00244452
70,13730.2,1.19695,0.74844,1.14535,0.81647,0.6585,0.76366,0.51535,0.49052,1.1538,0.70251,1.1234,0.00233341,0.00233341,0.00233341
71,14256.8,1.197,0.74609,1.14295,0.81707,0.65799,0.76371,0.51564,0.49052,1.15362,0.70241,1.12313,0.0022223,0.0022223,0.0022223
72,14784.1,1.1979,0.74699,1.14225,0.81656,0.65843,0.76384,0.51633,0.49071,1.15316,0.70192,1.1227,0.00211119,0.00211119,0.00211119
