epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,509.102,1.41373,1.37999,0,0.75017,0.57246,0.67275,0.41155,0.40362,1.3037,0.95833,0,0.00332623,0.00332623,0.00332623
2,1017.57,1.36789,0.99057,0,0.76316,0.58935,0.68713,0.42555,0.41584,1.28969,0.88861,0,0.00658556,0.00658556,0.00658556
3,1517.73,1.38291,0.96496,0,0.73347,0.57035,0.66364,0.3759,0.37732,1.36715,0.9478,0,0.00977083,0.00977083,0.00977083
4,2019.37,1.41201,0.96933,0,0.74269,0.56591,0.66506,0.38889,0.38695,1.38453,0.92517,0,0.00966667,0.00966667,0.00966667
5,2522.45,1.39961,0.94875,0,0.75027,0.56686,0.66457,0.40588,0.39545,1.34481,0.91278,0,0.00955556,0.00955556,0.00955556
6,3023.24,1.38297,0.93407,0,0.76207,0.57771,0.68121,0.41247,0.40484,1.32926,0.88082,0,0.00944445,0.00944445,0.00944445
7,3525.71,1.37437,0.9231,0,0.76501,0.58728,0.68927,0.42222,0.41241,1.31674,0.88134,0,0.00933334,0.00933334,0.00933334
8,4030.2,1.36662,0.91176,0,0.7573,0.58694,0.68678,0.41652,0.40862,1.32086,0.89374,0,0.00922223,0.00922223,0.00922223
9,4533.54,1.36198,0.90913,0,0.76536,0.59118,0.69654,0.42776,0.41835,1.31635,0.84816,0,0.00911112,0.00911112,0.00911112
10,5042.83,1.35314,0.89871,0,0.77064,0.5969,0.70287,0.43637,0.42511,1.28848,0.84845,0,0.00900001,0.00900001,0.00900001
11,5546.42,1.35047,0.89404,0,0.77297,0.59535,0.70117,0.43611,0.42426,1.28981,0.84274,0,0.0088889,0.0088889,0.0088889
12,6048.19,1.34093,0.88749,0,0.77025,0.60446,0.70907,0.44534,0.4316,1.2738,0.83715,0,0.00877779,0.00877779,0.00877779
13,6553.04,1.33753,0.88405,0,0.77362,0.61001,0.71158,0.44753,0.43362,1.27314,0.83139,0,0.00866668,0.00866668,0.00866668
14,7055.47,1.33496,0.8789,0,0.77877,0.60689,0.71263,0.45021,0.43592,1.26618,0.82763,0,0.00855557,0.00855557,0.00855557
15,7559.79,1.33187,0.8759,0,0.77675,0.60783,0.71434,0.45231,0.43716,1.26308,0.82109,0,0.00844446,0.00844446,0.00844446
16,8079.66,1.32606,0.86702,0,0.78401,0.61527,0.71999,0.45668,0.44213,1.25404,0.81253,0,0.00833335,0.00833335,0.00833335
17,8589.09,1.32051,0.86843,0,0.7899,0.61471,0.72249,0.46093,0.44448,1.24797,0.80306,0,0.00822224,0.00822224,0.00822224
18,9093.08,1.32288,0.8623,0,0.78952,0.61937,0.72394,0.46007,0.44443,1.24956,0.80593,0,0.00811113,0.00811113,0.00811113
19,9594.74,1.31533,0.85893,0,0.79015,0.61998,0.72658,0.46805,0.45016,1.23996,0.78848,0,0.00800002,0.00800002,0.00800002
20,10099.6,1.31349,0.85464,0,0.79345,0.62198,0.73053,0.46747,0.45126,1.23662,0.78239,0,0.00788891,0.00788891,0.00788891
21,10603.4,1.30813,0.85062,0,0.78845,0.62448,0.72983,0.46834,0.45195,1.23683,0.77974,0,0.0077778,0.0077778,0.0077778
22,11109.8,1.30785,0.84784,0,0.79435,0.62869,0.73386,0.47667,0.45617,1.22662,0.78377,0,0.00766669,0.00766669,0.00766669
23,11616.7,1.3031,0.84568,0,0.7932,0.62786,0.73428,0.47651,0.45677,1.22339,0.77613,0,0.00755558,0.00755558,0.00755558
24,605.125,1.29515,0.84086,0,0.79537,0.62882,0.73444,0.47876,0.4587,1.21908,0.76947,0,0.00744447,0.00744447,0.00744447
25,1110.3,1.29705,0.83929,0,0.79452,0.62957,0.73621,0.47784,0.45887,1.21984,0.7662,0,0.00733336,0.00733336,0.00733336
26,1614.93,1.29153,0.83544,0,0.79932,0.62942,0.73851,0.4811,0.46129,1.21331,0.76126,0,0.00722225,0.00722225,0.00722225
27,2119.17,1.29043,0.83464,0,0.80149,0.63291,0.74112,0.48436,0.46426,1.20718,0.76072,0,0.00711114,0.00711114,0.00711114
28,2622.83,1.28697,0.82984,0,0.80361,0.63407,0.74129,0.48478,0.46403,1.20602,0.75775,0,0.00700003,0.00700003,0.00700003
29,3126.28,1.28052,0.82901,0,0.80176,0.63412,0.74224,0.4864,0.46602,1.20113,0.75351,0,0.00688892,0.00688892,0.00688892
30,3630.46,1.28032,0.82627,0,0.79886,0.63835,0.74474,0.48845,0.46814,1.1964,0.74873,0,0.00677781,0.00677781,0.00677781
31,4136.34,1.2783,0.82162,0,0.80171,0.64012,0.74563,0.49031,0.46922,1.19732,0.74819,0,0.0066667,0.0066667,0.0066667
32,4644.76,1.27837,0.82254,0,0.80338,0.6419,0.74637,0.49044,0.46976,1.19533,0.74315,0,0.00655559,0.00655559,0.00655559
33,5158.31,1.27516,0.81844,0,0.80315,0.64255,0.74722,0.49252,0.47069,1.1938,0.74428,0,0.00644448,0.00644448,0.00644448
34,5662.33,1.27714,0.81782,0,0.80076,0.64364,0.74819,0.49398,0.47166,1.19129,0.7404,0,0.00633337,0.00633337,0.00633337
35,6166.03,1.26963,0.81645,0,0.805,0.64351,0.74906,0.49402,0.47262,1.18985,0.73684,0,0.00622226,0.00622226,0.00622226
36,6671.79,1.26797,0.81491,0,0.80498,0.64313,0.74918,0.49446,0.47346,1.18384,0.73781,0,0.00611115,0.00611115,0.00611115
37,7174.57,1.26656,0.81122,0,0.80478,0.64361,0.75043,0.49625,0.47415,1.1859,0.73399,0,0.00600004,0.00600004,0.00600004
38,7682.98,1.26589,0.81097,0,0.80408,0.64629,0.75178,0.49938,0.47655,1.17882,0.73384,0,0.00588893,0.00588893,0.00588893
39,602.819,1.25504,0.80108,0,0.80655,0.64877,0.75361,0.50101,0.47784,1.17643,0.72807,0,0.00577782,0.00577782,0.00577782
40,1112.12,1.25886,0.80146,0,0.80681,0.64795,0.75409,0.50046,0.47765,1.17887,0.72617,0,0.00566671,0.00566671,0.00566671
41,1622.95,1.25489,0.7996,0,0.80554,0.64996,0.75406,0.49912,0.47749,1.17802,0.7271,0,0.0055556,0.0055556,0.0055556
42,2132.89,1.25308,0.79749,0,0.80712,0.64802,0.75416,0.50185,0.47875,1.1748,0.72472,0,0.00544449,0.00544449,0.00544449
43,2643.31,1.25192,0.7945,0,0.80816,0.65013,0.75464,0.5029,0.47919,1.17515,0.72429,0,0.00533338,0.00533338,0.00533338
44,3152.75,1.2463,0.79377,0,0.80654,0.65136,0.7561,0.50352,0.48021,1.17202,0.72092,0,0.00522227,0.00522227,0.00522227
45,3664.68,1.24599,0.79248,0,0.81067,0.6492,0.75585,0.50395,0.48037,1.17095,0.71949,0,0.00511116,0.00511116,0.00511116
46,4176.72,1.24534,0.78648,0,0.809,0.65133,0.75704,0.50437,0.48134,1.17131,0.71878,0,0.00500005,0.00500005,0.00500005
47,4685.18,1.2441,0.78923,0,0.81101,0.65133,0.75735,0.5042,0.48117,1.16986,0.71832,0,0.00488894,0.00488894,0.00488894
48,5208,1.24025,0.78549,0,0.81151,0.65345,0.75845,0.50545,0.48207,1.16841,0.71705,0,0.00477783,0.00477783,0.00477783
49,5722.45,1.24343,0.78497,0,0.80902,0.65352,0.75854,0.50635,0.48263,1.16658,0.71556,0,0.00466672,0.00466672,0.00466672
50,6234.11,1.23648,0.78577,0,0.81062,0.65363,0.75854,0.50653,0.48321,1.16559,0.71469,0,0.00455561,0.00455561,0.00455561
51,6746.98,1.23539,0.78258,0,0.80927,0.6552,0.75888,0.50666,0.48319,1.16576,0.71487,0,0.0044445,0.0044445,0.0044445
52,7259.06,1.23398,0.77886,0,0.81109,0.65512,0.7591,0.50689,0.48328,1.16488,0.7129,0,0.00433339,0.00433339,0.00433339
53,7770.26,1.23565,0.78025,0,0.80908,0.6568,0.75949,0.50786,0.48383,1.16318,0.71282,0,0.00422228,0.00422228,0.00422228
54,8282.75,1.23595,0.77956,0,0.80948,0.65669,0.75982,0.50878,0.4844,1.16205,0.7119,0,0.00411117,0.00411117,0.00411117
55,8798.33,1.23287,0.781,0,0.81175,0.65587,0.76026,0.50942,0.48485,1.16111,0.7111,0,0.00400006,0.00400006,0.00400006
56,9311.54,1.23554,0.7778,0,0.81044,0.65762,0.76059,0.50959,0.48517,1.16063,0.71076,0,0.00388895,0.00388895,0.00388895
57,9822.7,1.23015,0.77491,0,0.81068,0.65778,0.76085,0.5104,0.48569,1.1596,0.71057,0,0.00377784,0.00377784,0.00377784
58,10336.1,1.2293,0.77241,0,0.81052,0.65786,0.76122,0.51113,0.48611,1.15889,0.70975,0,0.00366673,0.00366673,0.00366673
59,10847.8,1.22601,0.76889,0,0.81346,0.65681,0.76133,0.51157,0.48635,1.15844,0.7088,0,0.00355562,0.00355562,0.00355562
60,11360.4,1.22558,0.76852,0,0.81308,0.657,0.76151,0.5126,0.48674,1.15746,0.70771,0,0.00344451,0.00344451,0.00344451
61,11875.1,1.22357,0.7673,0,0.81231,0.65726,0.76164,0.51266,0.48711,1.15683,0.70713,0,0.0033334,0.0033334,0.0033334
62,12381.8,1.22473,0.76745,0,0.81411,0.65712,0.76191,0.51355,0.48751,1.15574,0.70638,0,0.00322229,0.00322229,0.00322229
63,12893.5,1.21869,0.7642,0,0.81207,0.65883,0.76231,0.51362,0.48789,1.15513,0.7059,0,0.00311118,0.00311118,0.00311118
64,13403.6,1.21752,0.76275,0,0.81378,0.65863,0.76269,0.51413,0.48822,1.15462,0.70506,0,0.00300007,0.00300007,0.00300007
65,13914.8,1.21722,0.7618,0,0.81356,0.65817,0.76283,0.51418,0.48844,1.15408,0.70423,0,0.00288896,0.00288896,0.00288896
66,14425.7,1.21883,0.76242,0,0.81375,0.65851,0.76295,0.51452,0.48871,1.1533,0.7038,0,0.00277785,0.00277785,0.00277785
67,14940.3,1.21608,0.75743,0,0.81363,0.65878,0.76321,0.51415,0.48868,1.15298,0.70357,0,0.00266674,0.00266674,0.00266674
68,15452.2,1.21212,0.75687,0,0.81425,0.6582,0.76308,0.51461,0.48897,1.15257,0.70298,0,0.00255563,0.00255563,0.00255563
69,15973.5,1.20791,0.75353,0,0.81316,0.65906,0.76338,0.51493,0.48912,1.15227,0.70271,0,0.00244452,0.00244452,0.00244452
70,16486.5,1.20571,0.75015,0,0.81365,0.65952,0.76384,0.5146,0.48931,1.15217,0.70227,0,0.00233341,0.00233341,0.00233341
